# SYNTHETIC. Daily attendance per crew. EPMS has t_attendance; the EC export carries none. Calibrated so the division-month rate reproduces ec_labour.csv exactly, including the Lebaran dip; Sundays and heavy-rain days sit below the month, weekdays above it.
crew_code,crew_type,division_code,date,on_roll,present,absent,absent_reason
U6-01,upkeep,6,2025-02-04,17,16,1,no show
U6-02,upkeep,6,2025-02-04,17,15,2,no show
U6-03,upkeep,6,2025-02-04,17,17,0,
U6-04,upkeep,6,2025-02-04,17,17,0,
U7-01,upkeep,7,2025-02-04,15,15,0,
U7-02,upkeep,7,2025-02-04,15,13,2,leave
U7-03,upkeep,7,2025-02-04,15,11,4,sick
U7-04,upkeep,7,2025-02-04,15,13,2,leave
G1-01,harvest,1,2025-02-05,28,24,4,leave
G1-02,harvest,1,2025-02-05,26,24,2,sick
G1-03,harvest,1,2025-02-05,25,24,1,leave
G1-04,harvest,1,2025-02-05,26,26,0,
G2-01,harvest,2,2025-02-05,24,24,0,
G2-02,harvest,2,2025-02-05,20,17,3,sick
G2-03,harvest,2,2025-02-05,24,24,0,
G2-04,harvest,2,2025-02-05,25,22,3,leave
G3-01,harvest,3,2025-02-05,27,23,4,no show
G3-02,harvest,3,2025-02-05,24,24,0,
G3-03,harvest,3,2025-02-05,25,24,1,sick
G3-04,harvest,3,2025-02-05,24,23,1,leave
G4-01,harvest,4,2025-02-05,26,26,0,
G4-02,harvest,4,2025-02-05,25,25,0,
G4-03,harvest,4,2025-02-05,24,24,0,
G4-04,harvest,4,2025-02-05,20,20,0,
G5-01,harvest,5,2025-02-05,23,23,0,
G5-02,harvest,5,2025-02-05,27,27,0,
G5-03,harvest,5,2025-02-05,19,19,0,
G6-01,harvest,6,2025-02-05,24,24,0,
G6-02,harvest,6,2025-02-05,18,18,0,
G6-03,harvest,6,2025-02-05,24,20,4,sick
G6-04,harvest,6,2025-02-05,24,23,1,sick
G6-05,harvest,6,2025-02-05,21,21,0,
G7-01,harvest,7,2025-02-05,27,27,0,
G7-02,harvest,7,2025-02-05,21,19,2,sick
G7-03,harvest,7,2025-02-05,20,20,0,
G7-04,harvest,7,2025-02-05,27,27,0,
P1-01,pest,1,2025-02-05,11,10,1,no show
P2-01,pest,2,2025-02-05,10,8,2,sick
P3-01,pest,3,2025-02-05,11,10,1,no show
P4-01,pest,4,2025-02-05,10,9,1,sick
P5-01,pest,5,2025-02-05,10,10,0,
P6-01,pest,6,2025-02-05,13,11,2,sick
P7-01,pest,7,2025-02-05,13,12,1,leave
S1-01,spray,1,2025-02-05,15,14,1,leave
S2-01,spray,2,2025-02-05,14,13,1,leave
S3-01,spray,3,2025-02-05,17,16,1,leave
S4-01,spray,4,2025-02-05,16,15,1,no show
S5-01,spray,5,2025-02-05,13,13,0,
S6-01,spray,6,2025-02-05,18,16,2,sick
S7-01,spray,7,2025-02-05,17,17,0,
U1-01,upkeep,1,2025-02-05,19,16,3,sick
U1-02,upkeep,1,2025-02-05,19,16,3,no show
U1-03,upkeep,1,2025-02-05,19,19,0,
U2-01,upkeep,2,2025-02-05,18,16,2,no show
U2-02,upkeep,2,2025-02-05,18,14,4,sick
U2-03,upkeep,2,2025-02-05,18,16,2,no show
U3-01,upkeep,3,2025-02-05,16,15,1,leave
U3-02,upkeep,3,2025-02-05,16,15,1,sick
U3-03,upkeep,3,2025-02-05,16,15,1,sick
U3-04,upkeep,3,2025-02-05,16,15,1,leave
U4-01,upkeep,4,2025-02-05,15,13,2,sick
U4-02,upkeep,4,2025-02-05,15,12,3,no show
U4-03,upkeep,4,2025-02-05,15,12,3,no show
U4-04,upkeep,4,2025-02-05,15,14,1,sick
U5-01,upkeep,5,2025-02-05,16,15,1,leave
U5-02,upkeep,5,2025-02-05,16,16,0,
U5-03,upkeep,5,2025-02-05,16,15,1,leave
U6-01,upkeep,6,2025-02-05,17,15,2,leave
U6-02,upkeep,6,2025-02-05,17,17,0,
U6-03,upkeep,6,2025-02-05,17,16,1,no show
U6-04,upkeep,6,2025-02-05,17,15,2,sick
U7-01,upkeep,7,2025-02-05,15,14,1,no show
U7-02,upkeep,7,2025-02-05,15,15,0,
U7-03,upkeep,7,2025-02-05,15,14,1,sick
U7-04,upkeep,7,2025-02-05,15,14,1,sick
G1-01,harvest,1,2025-02-06,28,27,1,sick
G1-02,harvest,1,2025-02-06,26,26,0,
G1-03,harvest,1,2025-02-06,25,24,1,leave
G1-04,harvest,1,2025-02-06,26,26,0,
G2-01,harvest,2,2025-02-06,24,19,5,sick
G2-02,harvest,2,2025-02-06,20,20,0,
G2-03,harvest,2,2025-02-06,24,21,3,leave
G2-04,harvest,2,2025-02-06,25,25,0,
G3-01,harvest,3,2025-02-06,27,27,0,
G3-02,harvest,3,2025-02-06,24,22,2,sick
G3-03,harvest,3,2025-02-06,25,25,0,
G3-04,harvest,3,2025-02-06,24,19,5,leave
G4-01,harvest,4,2025-02-06,26,25,1,leave
G4-02,harvest,4,2025-02-06,25,25,0,
G4-03,harvest,4,2025-02-06,24,24,0,
G4-04,harvest,4,2025-02-06,20,20,0,
G5-01,harvest,5,2025-02-06,23,22,1,sick
G5-02,harvest,5,2025-02-06,27,26,1,leave
G5-03,harvest,5,2025-02-06,19,19,0,
G6-01,harvest,6,2025-02-06,24,22,2,leave
G6-02,harvest,6,2025-02-06,18,16,2,sick
G6-03,harvest,6,2025-02-06,24,24,0,
G6-04,harvest,6,2025-02-06,24,24,0,
G6-05,harvest,6,2025-02-06,21,21,0,
G7-01,harvest,7,2025-02-06,27,24,3,sick
G7-02,harvest,7,2025-02-06,21,18,3,leave
G7-03,harvest,7,2025-02-06,20,20,0,
G7-04,harvest,7,2025-02-06,27,21,6,sick
P1-01,pest,1,2025-02-06,11,10,1,no show
P2-01,pest,2,2025-02-06,10,7,3,sick
P3-01,pest,3,2025-02-06,11,10,1,leave
P4-01,pest,4,2025-02-06,10,10,0,
P5-01,pest,5,2025-02-06,10,10,0,
P6-01,pest,6,2025-02-06,13,13,0,
P7-01,pest,7,2025-02-06,13,13,0,
S1-01,spray,1,2025-02-06,15,12,3,leave
S2-01,spray,2,2025-02-06,14,13,1,sick
S3-01,spray,3,2025-02-06,17,17,0,
S4-01,spray,4,2025-02-06,16,16,0,
S5-01,spray,5,2025-02-06,13,11,2,leave
S6-01,spray,6,2025-02-06,18,17,1,sick
S7-01,spray,7,2025-02-06,17,17,0,
U1-01,upkeep,1,2025-02-06,19,18,1,sick
U1-02,upkeep,1,2025-02-06,19,17,2,leave
U1-03,upkeep,1,2025-02-06,19,17,2,leave
U2-01,upkeep,2,2025-02-06,18,14,4,sick
U2-02,upkeep,2,2025-02-06,18,15,3,sick
U2-03,upkeep,2,2025-02-06,18,17,1,sick
U3-01,upkeep,3,2025-02-06,16,16,0,
U3-02,upkeep,3,2025-02-06,16,13,3,sick
U3-03,upkeep,3,2025-02-06,16,14,2,sick
U3-04,upkeep,3,2025-02-06,16,15,1,sick
U4-01,upkeep,4,2025-02-06,15,14,1,leave
U4-02,upkeep,4,2025-02-06,15,14,1,no show
U4-03,upkeep,4,2025-02-06,15,14,1,sick
U4-04,upkeep,4,2025-02-06,15,13,2,sick
U5-01,upkeep,5,2025-02-06,16,15,1,no show
U5-02,upkeep,5,2025-02-06,16,14,2,sick
U5-03,upkeep,5,2025-02-06,16,16,0,
U6-01,upkeep,6,2025-02-06,17,16,1,sick
U6-02,upkeep,6,2025-02-06,17,16,1,leave
U6-03,upkeep,6,2025-02-06,17,16,1,leave
U6-04,upkeep,6,2025-02-06,17,14,3,sick
U7-01,upkeep,7,2025-02-06,15,13,2,sick
U7-02,upkeep,7,2025-02-06,15,15,0,
U7-03,upkeep,7,2025-02-06,15,14,1,sick
U7-04,upkeep,7,2025-02-06,15,13,2,no show
G1-01,harvest,1,2025-02-07,28,27,1,leave
G1-02,harvest,1,2025-02-07,26,22,4,sick
G1-03,harvest,1,2025-02-07,25,21,4,leave
G1-04,harvest,1,2025-02-07,26,26,0,
G2-01,harvest,2,2025-02-07,24,22,2,sick
G2-02,harvest,2,2025-02-07,20,17,3,sick
G2-03,harvest,2,2025-02-07,24,22,2,leave
G2-04,harvest,2,2025-02-07,25,23,2,leave
G3-01,harvest,3,2025-02-07,27,27,0,
G3-02,harvest,3,2025-02-07,24,24,0,
G3-03,harvest,3,2025-02-07,25,25,0,
G3-04,harvest,3,2025-02-07,24,20,4,no show
G4-01,harvest,4,2025-02-07,26,24,2,sick
G4-02,harvest,4,2025-02-07,25,25,0,
G4-03,harvest,4,2025-02-07,24,24,0,
G4-04,harvest,4,2025-02-07,20,20,0,
G5-01,harvest,5,2025-02-07,23,22,1,sick
G5-02,harvest,5,2025-02-07,27,27,0,
G5-03,harvest,5,2025-02-07,19,19,0,
G6-01,harvest,6,2025-02-07,24,24,0,
G6-02,harvest,6,2025-02-07,18,18,0,
G6-03,harvest,6,2025-02-07,24,24,0,
G6-04,harvest,6,2025-02-07,24,20,4,leave
G6-05,harvest,6,2025-02-07,21,21,0,
G7-01,harvest,7,2025-02-07,27,26,1,leave
G7-02,harvest,7,2025-02-07,21,19,2,leave
G7-03,harvest,7,2025-02-07,20,20,0,
G7-04,harvest,7,2025-02-07,27,26,1,no show
P1-01,pest,1,2025-02-07,11,11,0,
P2-01,pest,2,2025-02-07,10,8,2,sick
P3-01,pest,3,2025-02-07,11,10,1,sick
P4-01,pest,4,2025-02-07,10,10,0,
P5-01,pest,5,2025-02-07,10,9,1,leave
P6-01,pest,6,2025-02-07,13,12,1,leave
P7-01,pest,7,2025-02-07,13,12,1,sick
S1-01,spray,1,2025-02-07,15,14,1,leave
S2-01,spray,2,2025-02-07,14,12,2,leave
S3-01,spray,3,2025-02-07,17,15,2,leave
S4-01,spray,4,2025-02-07,16,14,2,no show
S5-01,spray,5,2025-02-07,13,11,2,sick
S6-01,spray,6,2025-02-07,18,16,2,sick
S7-01,spray,7,2025-02-07,17,17,0,
U1-01,upkeep,1,2025-02-07,19,17,2,leave
U1-02,upkeep,1,2025-02-07,19,17,2,no show
U1-03,upkeep,1,2025-02-07,19,18,1,no show
U2-01,upkeep,2,2025-02-07,18,16,2,sick
U2-02,upkeep,2,2025-02-07,18,14,4,sick
U2-03,upkeep,2,2025-02-07,18,12,6,leave
U3-01,upkeep,3,2025-02-07,16,16,0,
U3-02,upkeep,3,2025-02-07,16,15,1,leave
U3-03,upkeep,3,2025-02-07,16,16,0,
U3-04,upkeep,3,2025-02-07,16,13,3,leave
U4-01,upkeep,4,2025-02-07,15,12,3,sick
U4-02,upkeep,4,2025-02-07,15,15,0,
U4-03,upkeep,4,2025-02-07,15,15,0,
U4-04,upkeep,4,2025-02-07,15,15,0,
U5-01,upkeep,5,2025-02-07,16,16,0,
U5-02,upkeep,5,2025-02-07,16,14,2,no show
U5-03,upkeep,5,2025-02-07,16,16,0,
U6-01,upkeep,6,2025-02-07,17,17,0,
U6-02,upkeep,6,2025-02-07,17,17,0,
U6-03,upkeep,6,2025-02-07,17,17,0,
U6-04,upkeep,6,2025-02-07,17,15,2,sick
U7-01,upkeep,7,2025-02-07,15,14,1,no show
U7-02,upkeep,7,2025-02-07,15,12,3,sick
U7-03,upkeep,7,2025-02-07,15,15,0,
U7-04,upkeep,7,2025-02-07,15,14,1,sick
G1-01,harvest,1,2025-02-08,28,27,1,leave
G1-02,harvest,1,2025-02-08,26,23,3,sick
G1-03,harvest,1,2025-02-08,25,25,0,
G1-04,harvest,1,2025-02-08,26,26,0,
G2-01,harvest,2,2025-02-08,24,20,4,leave
G2-02,harvest,2,2025-02-08,20,20,0,
G2-03,harvest,2,2025-02-08,24,24,0,
G2-04,harvest,2,2025-02-08,25,22,3,sick
G3-01,harvest,3,2025-02-08,27,27,0,
G3-02,harvest,3,2025-02-08,24,24,0,
G3-03,harvest,3,2025-02-08,25,25,0,
G3-04,harvest,3,2025-02-08,24,22,2,leave
G4-01,harvest,4,2025-02-08,26,25,1,sick
G4-02,harvest,4,2025-02-08,25,25,0,
G4-03,harvest,4,2025-02-08,24,24,0,
G4-04,harvest,4,2025-02-08,20,16,4,leave
G5-01,harvest,5,2025-02-08,23,23,0,
G5-02,harvest,5,2025-02-08,27,27,0,
G5-03,harvest,5,2025-02-08,19,19,0,
G6-01,harvest,6,2025-02-08,24,24,0,
G6-02,harvest,6,2025-02-08,18,18,0,
G6-03,harvest,6,2025-02-08,24,24,0,
G6-04,harvest,6,2025-02-08,24,24,0,
G6-05,harvest,6,2025-02-08,21,18,3,leave
G7-01,harvest,7,2025-02-08,27,26,1,sick
G7-02,harvest,7,2025-02-08,21,21,0,
G7-03,harvest,7,2025-02-08,20,18,2,no show
G7-04,harvest,7,2025-02-08,27,27,0,
P1-01,pest,1,2025-02-08,11,11,0,
P2-01,pest,2,2025-02-08,10,8,2,leave
P3-01,pest,3,2025-02-08,11,11,0,
P4-01,pest,4,2025-02-08,10,9,1,sick
P5-01,pest,5,2025-02-08,10,10,0,
P6-01,pest,6,2025-02-08,13,11,2,sick
P7-01,pest,7,2025-02-08,13,10,3,leave
S1-01,spray,1,2025-02-08,15,14,1,leave
S2-01,spray,2,2025-02-08,14,12,2,sick
S3-01,spray,3,2025-02-08,17,16,1,leave
S4-01,spray,4,2025-02-08,16,15,1,leave
S5-01,spray,5,2025-02-08,13,12,1,sick
S6-01,spray,6,2025-02-08,18,18,0,
S7-01,spray,7,2025-02-08,17,17,0,
U1-01,upkeep,1,2025-02-08,19,16,3,no show
U1-02,upkeep,1,2025-02-08,19,18,1,no show
U1-03,upkeep,1,2025-02-08,19,18,1,sick
U2-01,upkeep,2,2025-02-08,18,18,0,
U2-02,upkeep,2,2025-02-08,18,14,4,sick
U2-03,upkeep,2,2025-02-08,18,15,3,sick
U3-01,upkeep,3,2025-02-08,16,13,3,sick
U3-02,upkeep,3,2025-02-08,16,15,1,sick
U3-03,upkeep,3,2025-02-08,16,15,1,sick
U3-04,upkeep,3,2025-02-08,16,14,2,no show
U4-01,upkeep,4,2025-02-08,15,14,1,no show
U4-02,upkeep,4,2025-02-08,15,14,1,no show
U4-03,upkeep,4,2025-02-08,15,13,2,no show
U4-04,upkeep,4,2025-02-08,15,14,1,sick
U5-01,upkeep,5,2025-02-08,16,15,1,leave
U5-02,upkeep,5,2025-02-08,16,15,1,sick
U5-03,upkeep,5,2025-02-08,16,14,2,sick
U6-01,upkeep,6,2025-02-08,17,17,0,
U6-02,upkeep,6,2025-02-08,17,16,1,sick
U6-03,upkeep,6,2025-02-08,17,17,0,
U6-04,upkeep,6,2025-02-08,17,17,0,
U7-01,upkeep,7,2025-02-08,15,14,1,no show
U7-02,upkeep,7,2025-02-08,15,14,1,leave
U7-03,upkeep,7,2025-02-08,15,13,2,no show
U7-04,upkeep,7,2025-02-08,15,14,1,sick
G1-01,harvest,1,2025-02-09,28,15,13,rest day
G1-02,harvest,1,2025-02-09,26,20,6,rest day
G1-03,harvest,1,2025-02-09,25,23,2,rest day
G1-04,harvest,1,2025-02-09,26,26,0,
G2-01,harvest,2,2025-02-09,24,11,13,rest day
G2-02,harvest,2,2025-02-09,20,10,10,rest day
G2-03,harvest,2,2025-02-09,24,13,11,rest day
G2-04,harvest,2,2025-02-09,25,13,12,rest day
G3-01,harvest,3,2025-02-09,27,16,11,rest day
G3-02,harvest,3,2025-02-09,24,14,10,rest day
G3-03,harvest,3,2025-02-09,25,25,0,
G3-04,harvest,3,2025-02-09,24,14,10,rest day
G4-01,harvest,4,2025-02-09,26,18,8,rest day
G4-02,harvest,4,2025-02-09,25,25,0,
G4-03,harvest,4,2025-02-09,24,24,0,
G4-04,harvest,4,2025-02-09,20,15,5,rest day
G5-01,harvest,5,2025-02-09,23,15,8,rest day
G5-02,harvest,5,2025-02-09,27,27,0,
G5-03,harvest,5,2025-02-09,19,13,6,rest day
G6-01,harvest,6,2025-02-09,24,24,0,
G6-02,harvest,6,2025-02-09,18,11,7,rest day
G6-03,harvest,6,2025-02-09,24,13,11,rest day
G6-04,harvest,6,2025-02-09,24,18,6,rest day
G6-05,harvest,6,2025-02-09,21,13,8,rest day
G7-01,harvest,7,2025-02-09,27,14,13,rest day
G7-02,harvest,7,2025-02-09,21,14,7,rest day
G7-03,harvest,7,2025-02-09,20,20,0,
G7-04,harvest,7,2025-02-09,27,18,9,rest day
P1-01,pest,1,2025-02-09,11,5,6,rest day
P2-01,pest,2,2025-02-09,10,5,5,rest day
P3-01,pest,3,2025-02-09,11,6,5,rest day
P4-01,pest,4,2025-02-09,10,6,4,rest day
P5-01,pest,5,2025-02-09,10,6,4,rest day
P6-01,pest,6,2025-02-09,13,7,6,rest day
P7-01,pest,7,2025-02-09,13,8,5,rest day
S1-01,spray,1,2025-02-09,15,9,6,rest day
S2-01,spray,2,2025-02-09,14,8,6,rest day
S3-01,spray,3,2025-02-09,17,8,9,rest day
S4-01,spray,4,2025-02-09,16,9,7,rest day
S5-01,spray,5,2025-02-09,13,6,7,rest day
S6-01,spray,6,2025-02-09,18,11,7,rest day
S7-01,spray,7,2025-02-09,17,9,8,rest day
U1-01,upkeep,1,2025-02-09,19,11,8,rest day
U1-02,upkeep,1,2025-02-09,19,12,7,rest day
U1-03,upkeep,1,2025-02-09,19,9,10,rest day
U2-01,upkeep,2,2025-02-09,18,9,9,rest day
U2-02,upkeep,2,2025-02-09,18,9,9,rest day
U2-03,upkeep,2,2025-02-09,18,9,9,rest day
U3-01,upkeep,3,2025-02-09,16,9,7,rest day
U3-02,upkeep,3,2025-02-09,16,10,6,rest day
U3-03,upkeep,3,2025-02-09,16,8,8,rest day
U3-04,upkeep,3,2025-02-09,16,8,8,rest day
U4-01,upkeep,4,2025-02-09,15,9,6,rest day
U4-02,upkeep,4,2025-02-09,15,8,7,rest day
U4-03,upkeep,4,2025-02-09,15,9,6,rest day
U4-04,upkeep,4,2025-02-09,15,9,6,rest day
U5-01,upkeep,5,2025-02-09,16,9,7,rest day
U5-02,upkeep,5,2025-02-09,16,10,6,rest day
U5-03,upkeep,5,2025-02-09,16,10,6,rest day
U6-01,upkeep,6,2025-02-09,17,11,6,rest day
U6-02,upkeep,6,2025-02-09,17,9,8,rest day
U6-03,upkeep,6,2025-02-09,17,11,6,rest day
U6-04,upkeep,6,2025-02-09,17,10,7,rest day
U7-01,upkeep,7,2025-02-09,15,8,7,rest day
U7-02,upkeep,7,2025-02-09,15,8,7,rest day
U7-03,upkeep,7,2025-02-09,15,10,5,rest day
U7-04,upkeep,7,2025-02-09,15,10,5,rest day
G1-01,harvest,1,2025-02-10,28,25,3,sick
G1-02,harvest,1,2025-02-10,26,26,0,
G1-03,harvest,1,2025-02-10,25,24,1,sick
G1-04,harvest,1,2025-02-10,26,24,2,leave
G2-01,harvest,2,2025-02-10,24,24,0,
G2-02,harvest,2,2025-02-10,20,18,2,sick
G2-03,harvest,2,2025-02-10,24,22,2,sick
G2-04,harvest,2,2025-02-10,25,22,3,sick
G3-01,harvest,3,2025-02-10,27,23,4,sick
G3-02,harvest,3,2025-02-10,24,24,0,
G3-03,harvest,3,2025-02-10,25,25,0,
G3-04,harvest,3,2025-02-10,24,24,0,
G4-01,harvest,4,2025-02-10,26,26,0,
G4-02,harvest,4,2025-02-10,25,21,4,leave
G4-03,harvest,4,2025-02-10,24,21,3,leave
G4-04,harvest,4,2025-02-10,20,19,1,sick
G5-01,harvest,5,2025-02-10,23,23,0,
G5-02,harvest,5,2025-02-10,27,27,0,
G5-03,harvest,5,2025-02-10,19,18,1,sick
G6-01,harvest,6,2025-02-10,24,24,0,
G6-02,harvest,6,2025-02-10,18,18,0,
G6-03,harvest,6,2025-02-10,24,22,2,sick
G6-04,harvest,6,2025-02-10,24,22,2,sick
G6-05,harvest,6,2025-02-10,21,17,4,no show
G7-01,harvest,7,2025-02-10,27,27,0,
G7-02,harvest,7,2025-02-10,21,20,1,leave
G7-03,harvest,7,2025-02-10,20,20,0,
G7-04,harvest,7,2025-02-10,27,24,3,sick
P1-01,pest,1,2025-02-10,11,9,2,sick
P2-01,pest,2,2025-02-10,10,9,1,sick
P3-01,pest,3,2025-02-10,11,10,1,sick
P4-01,pest,4,2025-02-10,10,8,2,no show
P5-01,pest,5,2025-02-10,10,9,1,leave
P6-01,pest,6,2025-02-10,13,10,3,no show
P7-01,pest,7,2025-02-10,13,11,2,sick
S1-01,spray,1,2025-02-10,15,10,5,leave
S2-01,spray,2,2025-02-10,14,13,1,sick
S3-01,spray,3,2025-02-10,17,17,0,
S4-01,spray,4,2025-02-10,16,14,2,leave
S5-01,spray,5,2025-02-10,13,12,1,leave
S6-01,spray,6,2025-02-10,18,18,0,
S7-01,spray,7,2025-02-10,17,15,2,sick
U1-01,upkeep,1,2025-02-10,19,18,1,sick
U1-02,upkeep,1,2025-02-10,19,17,2,sick
U1-03,upkeep,1,2025-02-10,19,18,1,sick
U2-01,upkeep,2,2025-02-10,18,15,3,leave
U2-02,upkeep,2,2025-02-10,18,15,3,sick
U2-03,upkeep,2,2025-02-10,18,16,2,sick
U3-01,upkeep,3,2025-02-10,16,16,0,
U3-02,upkeep,3,2025-02-10,16,13,3,no show
U3-03,upkeep,3,2025-02-10,16,15,1,leave
U3-04,upkeep,3,2025-02-10,16,15,1,sick
U4-01,upkeep,4,2025-02-10,15,12,3,sick
U4-02,upkeep,4,2025-02-10,15,13,2,no show
U4-03,upkeep,4,2025-02-10,15,15,0,
U4-04,upkeep,4,2025-02-10,15,14,1,leave
U5-01,upkeep,5,2025-02-10,16,15,1,sick
U5-02,upkeep,5,2025-02-10,16,16,0,
U5-03,upkeep,5,2025-02-10,16,15,1,leave
U6-01,upkeep,6,2025-02-10,17,16,1,no show
U6-02,upkeep,6,2025-02-10,17,14,3,leave
U6-03,upkeep,6,2025-02-10,17,17,0,
U6-04,upkeep,6,2025-02-10,17,14,3,sick
U7-01,upkeep,7,2025-02-10,15,14,1,sick
U7-02,upkeep,7,2025-02-10,15,14,1,sick
U7-03,upkeep,7,2025-02-10,15,14,1,sick
U7-04,upkeep,7,2025-02-10,15,15,0,
G1-01,harvest,1,2025-02-11,28,25,3,leave
G1-02,harvest,1,2025-02-11,26,24,2,sick
G1-03,harvest,1,2025-02-11,25,25,0,
G1-04,harvest,1,2025-02-11,26,24,2,sick
G2-01,harvest,2,2025-02-11,24,24,0,
G2-02,harvest,2,2025-02-11,20,19,1,sick
G2-03,harvest,2,2025-02-11,24,24,0,
G2-04,harvest,2,2025-02-11,25,20,5,no show
G3-01,harvest,3,2025-02-11,27,24,3,leave
G3-02,harvest,3,2025-02-11,24,24,0,
G3-03,harvest,3,2025-02-11,25,25,0,
G3-04,harvest,3,2025-02-11,24,22,2,sick
G4-01,harvest,4,2025-02-11,26,25,1,leave
G4-02,harvest,4,2025-02-11,25,22,3,leave
G4-03,harvest,4,2025-02-11,24,19,5,sick
G4-04,harvest,4,2025-02-11,20,20,0,
G5-01,harvest,5,2025-02-11,23,23,0,
G5-02,harvest,5,2025-02-11,27,26,1,sick
G5-03,harvest,5,2025-02-11,19,16,3,no show
G6-01,harvest,6,2025-02-11,24,24,0,
G6-02,harvest,6,2025-02-11,18,15,3,no show
G6-03,harvest,6,2025-02-11,24,23,1,leave
G6-04,harvest,6,2025-02-11,24,21,3,no show
G6-05,harvest,6,2025-02-11,21,19,2,leave
G7-01,harvest,7,2025-02-11,27,25,2,sick
G7-02,harvest,7,2025-02-11,21,21,0,
G7-03,harvest,7,2025-02-11,20,18,2,no show
G7-04,harvest,7,2025-02-11,27,27,0,
P1-01,pest,1,2025-02-11,11,10,1,sick
P2-01,pest,2,2025-02-11,10,8,2,leave
P3-01,pest,3,2025-02-11,11,9,2,no show
P4-01,pest,4,2025-02-11,10,9,1,sick
P5-01,pest,5,2025-02-11,10,10,0,
P6-01,pest,6,2025-02-11,13,12,1,no show
P7-01,pest,7,2025-02-11,13,13,0,
S1-01,spray,1,2025-02-11,15,15,0,
S2-01,spray,2,2025-02-11,14,12,2,sick
S3-01,spray,3,2025-02-11,17,16,1,leave
S4-01,spray,4,2025-02-11,16,16,0,
S5-01,spray,5,2025-02-11,13,13,0,
S6-01,spray,6,2025-02-11,18,16,2,sick
S7-01,spray,7,2025-02-11,17,17,0,
U1-01,upkeep,1,2025-02-11,19,16,3,sick
U1-02,upkeep,1,2025-02-11,19,18,1,sick
U1-03,upkeep,1,2025-02-11,19,16,3,sick
U2-01,upkeep,2,2025-02-11,18,16,2,no show
U2-02,upkeep,2,2025-02-11,18,16,2,sick
U2-03,upkeep,2,2025-02-11,18,14,4,sick
U3-01,upkeep,3,2025-02-11,16,14,2,leave
U3-02,upkeep,3,2025-02-11,16,13,3,leave
U3-03,upkeep,3,2025-02-11,16,14,2,sick
U3-04,upkeep,3,2025-02-11,16,14,2,leave
U4-01,upkeep,4,2025-02-11,15,13,2,leave
U4-02,upkeep,4,2025-02-11,15,15,0,
U4-03,upkeep,4,2025-02-11,15,14,1,leave
U4-04,upkeep,4,2025-02-11,15,15,0,
U5-01,upkeep,5,2025-02-11,16,16,0,
U5-02,upkeep,5,2025-02-11,16,15,1,sick
U5-03,upkeep,5,2025-02-11,16,16,0,
U6-01,upkeep,6,2025-02-11,17,17,0,
U6-02,upkeep,6,2025-02-11,17,16,1,no show
U6-03,upkeep,6,2025-02-11,17,17,0,
U6-04,upkeep,6,2025-02-11,17,14,3,no show
U7-01,upkeep,7,2025-02-11,15,14,1,sick
U7-02,upkeep,7,2025-02-11,15,14,1,no show
U7-03,upkeep,7,2025-02-11,15,14,1,sick
U7-04,upkeep,7,2025-02-11,15,13,2,sick
G1-01,harvest,1,2025-02-12,28,27,1,leave
G1-02,harvest,1,2025-02-12,26,23,3,no show
G1-03,harvest,1,2025-02-12,25,25,0,
G1-04,harvest,1,2025-02-12,26,26,0,
G2-01,harvest,2,2025-02-12,24,19,5,leave
G2-02,harvest,2,2025-02-12,20,20,0,
G2-03,harvest,2,2025-02-12,24,20,4,sick
G2-04,harvest,2,2025-02-12,25,22,3,sick
G3-01,harvest,3,2025-02-12,27,24,3,leave
G3-02,harvest,3,2025-02-12,24,24,0,
G3-03,harvest,3,2025-02-12,25,25,0,
G3-04,harvest,3,2025-02-12,24,22,2,leave
G4-01,harvest,4,2025-02-12,26,24,2,sick
G4-02,harvest,4,2025-02-12,25,23,2,sick
G4-03,harvest,4,2025-02-12,24,20,4,leave
G4-04,harvest,4,2025-02-12,20,20,0,
G5-01,harvest,5,2025-02-12,23,22,1,no show
G5-02,harvest,5,2025-02-12,27,27,0,
G5-03,harvest,5,2025-02-12,19,18,1,leave
G6-01,harvest,6,2025-02-12,24,24,0,
G6-02,harvest,6,2025-02-12,18,18,0,
G6-03,harvest,6,2025-02-12,24,24,0,
G6-04,harvest,6,2025-02-12,24,24,0,
G6-05,harvest,6,2025-02-12,21,21,0,
G7-01,harvest,7,2025-02-12,27,24,3,leave
G7-02,harvest,7,2025-02-12,21,19,2,sick
G7-03,harvest,7,2025-02-12,20,20,0,
G7-04,harvest,7,2025-02-12,27,25,2,no show
P1-01,pest,1,2025-02-12,11,11,0,
P2-01,pest,2,2025-02-12,10,7,3,sick
P3-01,pest,3,2025-02-12,11,8,3,leave
P4-01,pest,4,2025-02-12,10,9,1,no show
P5-01,pest,5,2025-02-12,10,10,0,
P6-01,pest,6,2025-02-12,13,12,1,leave
P7-01,pest,7,2025-02-12,13,11,2,no show
S1-01,spray,1,2025-02-12,15,13,2,sick
S2-01,spray,2,2025-02-12,14,13,1,sick
S3-01,spray,3,2025-02-12,17,16,1,sick
S4-01,spray,4,2025-02-12,16,14,2,sick
S5-01,spray,5,2025-02-12,13,12,1,sick
S6-01,spray,6,2025-02-12,18,17,1,sick
S7-01,spray,7,2025-02-12,17,17,0,
U1-01,upkeep,1,2025-02-12,19,18,1,no show
U1-02,upkeep,1,2025-02-12,19,17,2,sick
