# SYNTHETIC. Estate road segments with condition and grading history. SAP PM holds the work orders; the export carries none. Segment geometry follows the longest edge of each real block polygon.
segment_id,division_code,block_code,lon_a,lat_a,lon_b,lat_b,length_km,condition,condition_score,last_graded,days_since_graded,culvert_repairs_12m
RS-0255,7,296,140.903537,-7.032668,140.904431,-7.032684,0.099,fair,0.387,2024-11-28,176,0
RS-0256,7,297,140.903417,-7.035383,140.904755,-7.035409,0.149,poor,0.55,2024-11-30,174,1
RS-0257,7,298,140.904755,-7.035409,140.903417,-7.035383,0.149,fair,0.277,2025-03-20,64,0
RS-0258,7,299,140.899922,-7.037755,140.898974,-7.037741,0.106,poor,0.505,2025-02-17,95,0
RS-0259,7,300,140.902172,-7.04361,140.90701,-7.043666,0.539,fair,0.46,2024-09-25,240,0
RS-0260,7,301,140.90701,-7.043666,140.902172,-7.04361,0.539,good,0.235,2024-09-05,260,0
RS-0261,7,302,140.89893,-7.045849,140.898993,-7.047655,0.201,good,0.191,2025-01-21,122,0
RS-0262,7,303,140.903363,-7.048778,140.902414,-7.048781,0.106,poor,0.526,2024-07-28,299,3
RS-0263,7,304,140.907801,-7.030323,140.907803,-7.031215,0.099,fair,0.446,2024-12-22,152,0
RS-0264,7,305,140.907828,-7.034253,140.907845,-7.03525,0.111,poor,0.716,2024-12-09,165,1
RS-0265,7,306,140.907853,-7.035604,140.907873,-7.036516,0.101,fair,0.413,2025-05-06,17,0
RS-0266,7,307,140.908023,-7.040283,140.915555,-7.040107,0.839,good,0.2,2024-09-30,235,0
RS-0267,7,308,140.915555,-7.040107,140.908023,-7.040283,0.839,poor,0.572,2024-10-19,216,1
RS-0268,7,309,140.908069,-7.044714,140.908053,-7.04547,0.084,poor,0.681,2025-03-01,83,1
RS-0269,7,310,140.908041,-7.047364,140.908042,-7.048244,0.098,fair,0.427,2024-10-29,206,0
RS-0270,7,311,140.908053,-7.049949,140.908052,-7.050688,0.082,poor,0.546,2024-09-24,241,0
RS-0271,7,328,140.898949,-7.048778,140.895767,-7.048735,0.354,fair,0.366,2024-10-21,214,0
RS-0272,7,329,140.896291,-7.05464,140.898896,-7.05467,0.29,good,0.239,2024-11-04,200,0
RS-0273,7,330,140.898896,-7.05467,140.896291,-7.05464,0.29,fair,0.437,2024-11-13,191,0
RS-0274,7,331,140.896209,-7.059938,140.89871,-7.059911,0.278,fair,0.396,2024-11-29,175,0
RS-0275,7,332,140.89871,-7.059911,140.896209,-7.059938,0.278,poor,0.615,2025-02-16,96,0
RS-0276,7,333,140.898741,-7.062783,140.896564,-7.062781,0.242,fair,0.323,2025-02-22,90,0
RS-0277,7,334,140.897425,-7.068462,140.898789,-7.068434,0.152,fair,0.318,2023-12-24,516,0
RS-0278,7,335,140.898718,-7.071265,140.898789,-7.068434,0.315,fair,0.441,2024-10-15,220,0
RS-0279,7,336,140.898653,-7.073863,140.898718,-7.071265,0.289,good,0.243,2025-01-01,142,0
RS-0280,7,337,140.907999,-7.054235,140.907986,-7.053261,0.108,fair,0.342,2024-08-19,277,0
RS-0281,7,338,140.902005,-7.054653,140.901044,-7.054673,0.107,fair,0.316,2025-02-08,104,0
RS-0282,7,339,140.901141,-7.059924,140.902029,-7.059926,0.099,fair,0.333,2024-12-21,153,0
RS-0283,7,340,140.899475,-7.062785,140.900416,-7.062787,0.105,fair,0.473,2025-02-27,85,0
RS-0284,7,341,140.903107,-7.065627,140.904345,-7.06566,0.138,good,0.209,2024-04-04,414,0
RS-0285,7,342,140.904345,-7.06566,140.903107,-7.065627,0.138,poor,0.512,2024-10-10,225,2
RS-0286,7,343,140.898789,-7.068434,140.898718,-7.071265,0.315,fair,0.426,2024-11-09,195,0
RS-0287,7,344,140.898718,-7.071265,140.898653,-7.073863,0.289,good,0.246,2024-07-04,323,0
RS-0288,7,345,140.907986,-7.053261,140.907999,-7.054235,0.108,fair,0.307,2024-10-16,219,0
RS-0289,7,346,140.91414,-7.057116,140.914954,-7.057119,0.091,fair,0.356,2024-08-14,282,0
RS-0290,7,347,140.907939,-7.059976,140.909576,-7.05999,0.182,good,0.096,2024-08-06,290,0
RS-0291,7,348,140.909576,-7.05999,140.907939,-7.059976,0.182,fair,0.339,2024-04-01,417,0
