# SYNTHETIC. Purchase order lines: EKKO, EKPO, EKET. bsart RUSH is a local buy made because the store could not meet an issue. delay_cause is the generator's ANSWER KEY - a real extract has no such column, and no model may read it.
ebeln,ebelp,bedat,bsart,lifnr,matnr,werks,menge,meins,netpr,eindt,status,delay_cause
4500000274,00010,2024-05-29,NB,V401,SP-003,EC,5,EA,4115990,2024-06-08,closed,
4500000275,00010,2024-06-01,NB,V301,FU-001,EC,8000,L,13478,2024-06-06,closed,
4500000276,00010,2024-06-05,NB,V402,SP-002,EC,5,EA,8818694,2024-06-26,closed,
4500000277,00010,2024-06-07,NB,V301,FU-001,EC,8000,L,13127,2024-06-12,closed,
4500000278,00010,2024-06-11,NB,V402,SP-004,EC,4,EA,634369,2024-07-02,closed,
4500000279,00010,2024-06-11,RUSH,V900,SP-004,EC,1,EA,929173,2024-06-13,closed,
4500000280,00010,2024-06-12,NB,V201,AC-001,EC,2900,L,71183,2024-07-03,closed,
4500000281,00010,2024-06-12,NB,V401,SP-007,EC,4,EA,795788,2024-06-22,closed,
4500000282,00010,2024-06-13,NB,V301,FU-001,EC,8000,L,13749,2024-06-18,closed,
4500000283,00010,2024-06-14,NB,V401,SP-005,EC,4,EA,444312,2024-06-24,closed,
4500000284,00010,2024-06-18,NB,V301,FU-001,EC,8000,L,13509,2024-06-23,closed,
4500000285,00010,2024-06-19,NB,V201,AC-003,EC,100,L,90094,2024-07-10,closed,
4500000286,00010,2024-06-19,NB,V401,SP-001,EC,4,EA,3440526,2024-06-29,closed,
4500000287,00010,2024-06-20,NB,V402,SP-006,EC,4,EA,1208147,2024-07-11,closed,
4500000288,00010,2024-06-21,NB,V201,AC-002,EC,42,KG,605202,2024-07-12,closed,
4500000289,00010,2024-06-21,NB,V402,SP-008,EC,4,EA,2867755,2024-07-12,closed,
4500000290,00010,2024-06-24,NB,V301,FU-001,EC,8000,L,13421,2024-06-29,closed,
4500000291,00010,2024-06-27,RUSH,V900,SP-008,EC,1,EA,3856536,2024-06-29,closed,
4500000292,00010,2024-06-29,NB,V301,FU-001,EC,8000,L,13138,2024-07-04,closed,
4500000293,00010,2024-07-05,NB,V301,FU-001,EC,8000,L,13468,2024-07-10,closed,
4500000294,00010,2024-07-08,NB,V402,SP-004,EC,4,EA,654382,2024-07-29,closed,
4500000295,00010,2024-07-10,NB,V301,FU-001,EC,8000,L,13120,2024-07-15,closed,
4500000296,00010,2024-07-10,NB,V402,SP-002,EC,5,EA,8801027,2024-07-31,closed,
4500000297,00010,2024-07-13,NB,V401,SP-005,EC,4,EA,445106,2024-07-23,closed,
4500000298,00010,2024-07-16,NB,V201,AC-001,EC,2900,L,68528,2024-08-06,closed,
4500000299,00010,2024-07-16,NB,V301,FU-001,EC,8000,L,13135,2024-07-21,closed,
4500000300,00010,2024-07-19,NB,V401,SP-003,EC,5,EA,4023583,2024-07-29,closed,
4500000301,00010,2024-07-22,NB,V301,FU-001,EC,8000,L,13295,2024-07-27,closed,
4500000302,00010,2024-07-23,NB,V401,SP-001,EC,4,EA,3500061,2024-08-02,closed,
4500000303,00010,2024-07-27,NB,V301,FU-001,EC,8000,L,13546,2024-08-01,closed,
4500000304,00010,2024-07-27,NB,V401,SP-005,EC,4,EA,440410,2024-08-06,closed,
4500000305,00010,2024-07-27,NB,V402,SP-008,EC,4,EA,2771975,2024-08-17,closed,
4500000306,00010,2024-07-29,NB,V401,SP-007,EC,4,EA,792790,2024-08-08,closed,
4500000307,00010,2024-08-02,NB,V301,FU-001,EC,8000,L,13289,2024-08-07,closed,
4500000308,00010,2024-08-06,NB,V201,AC-003,EC,100,L,87697,2024-08-27,closed,
4500000309,00010,2024-08-06,NB,V402,SP-002,EC,5,EA,9036947,2024-08-27,closed,
4500000310,00010,2024-08-07,NB,V402,SP-006,EC,4,EA,1173123,2024-08-28,closed,
4500000311,00010,2024-08-08,NB,V201,AC-002,EC,42,KG,601953,2024-08-29,closed,
4500000312,00010,2024-08-08,NB,V301,FU-001,EC,8000,L,13697,2024-08-13,closed,
4500000313,00010,2024-08-09,RUSH,V900,AC-001,EC,200,L,86746,2024-08-11,closed,
4500000314,00010,2024-08-13,NB,V102,FE-004,EC,13100,KG,21957,2024-09-17,closed,
4500000315,00010,2024-08-14,RUSH,V900,AC-001,EC,200,L,89453,2024-08-16,closed,
4500000316,00010,2024-08-14,NB,V301,FU-001,EC,8000,L,13811,2024-08-19,closed,
4500000317,00010,2024-08-15,RUSH,V900,AC-001,EC,200,L,85289,2024-08-17,closed,
4500000318,00010,2024-08-16,RUSH,V900,AC-001,EC,200,L,89055,2024-08-18,closed,
4500000319,00010,2024-08-16,NB,V102,FE-004,EC,13100,KG,22652,2024-09-20,closed,
4500000320,00010,2024-08-17,RUSH,V900,AC-001,EC,200,L,86617,2024-08-19,closed,
4500000321,00010,2024-08-18,NB,V101,FE-001,EC,233300,KG,8462,2024-09-17,closed,
4500000322,00010,2024-08-18,NB,V101,FE-002,EC,88100,KG,7714,2024-09-17,closed,vessel_missed
4500000323,00010,2024-08-19,NB,V102,FE-004,EC,13100,KG,21785,2024-09-23,closed,
4500000324,00010,2024-08-20,NB,V103,FE-003,EC,89200,KG,4517,2024-09-17,closed,
4500000325,00010,2024-08-20,NB,V301,FU-001,EC,8000,L,13441,2024-08-25,closed,
4500000326,00010,2024-08-21,NB,V101,FE-001,EC,233300,KG,8291,2024-09-20,closed,
4500000327,00010,2024-08-21,NB,V101,FE-002,EC,88100,KG,7656,2024-09-20,closed,
4500000328,00010,2024-08-22,NB,V102,FE-004,EC,13100,KG,22161,2024-09-26,closed,
4500000329,00010,2024-08-23,NB,V103,FE-003,EC,89200,KG,4535,2024-09-20,closed,
4500000330,00010,2024-08-24,NB,V101,FE-001,EC,233300,KG,8287,2024-09-23,closed,
4500000331,00010,2024-08-24,NB,V101,FE-002,EC,88100,KG,7433,2024-09-23,closed,
4500000332,00010,2024-08-25,NB,V102,FE-004,EC,13100,KG,22010,2024-09-29,closed,
4500000333,00010,2024-08-26,NB,V103,FE-003,EC,89200,KG,4612,2024-09-23,closed,
4500000334,00010,2024-08-26,NB,V301,FU-001,EC,8000,L,13724,2024-08-31,closed,
4500000335,00010,2024-08-27,RUSH,V900,AC-002,EC,5,KG,736434,2024-08-29,closed,
4500000336,00010,2024-08-27,NB,V101,FE-001,EC,233300,KG,8557,2024-09-26,closed,
4500000337,00010,2024-08-27,NB,V101,FE-002,EC,88100,KG,7423,2024-09-26,closed,vessel_missed
4500000338,00010,2024-08-28,RUSH,V900,AC-002,EC,5,KG,745523,2024-08-30,closed,
4500000339,00010,2024-08-29,NB,V201,AC-001,EC,2900,L,70819,2024-09-19,closed,
4500000340,00010,2024-08-29,NB,V103,FE-003,EC,89200,KG,4618,2024-09-26,closed,
4500000341,00010,2024-08-29,NB,V402,SP-008,EC,4,EA,2869061,2024-09-19,closed,
4500000342,00010,2024-08-30,NB,V201,AC-004,EC,5,KG,45607,2024-09-20,closed,
4500000343,00010,2024-08-30,NB,V101,FE-001,EC,233300,KG,8522,2024-09-29,closed,
4500000344,00010,2024-08-30,NB,V101,FE-002,EC,88100,KG,7703,2024-09-29,closed,
4500000345,00010,2024-08-31,NB,V301,FU-001,EC,8000,L,13388,2024-09-05,closed,
4500000346,00010,2024-09-01,NB,V103,FE-003,EC,89200,KG,4519,2024-09-29,closed,
4500000347,00010,2024-09-02,NB,V101,FE-001,EC,233300,KG,8257,2024-10-02,closed,
4500000348,00010,2024-09-02,NB,V101,FE-002,EC,88100,KG,7609,2024-10-02,closed,
4500000349,00010,2024-09-02,NB,V402,SP-004,EC,4,EA,659605,2024-09-23,closed,
4500000350,00010,2024-09-04,NB,V103,FE-003,EC,89200,KG,4532,2024-10-02,closed,
4500000351,00010,2024-09-04,NB,V401,SP-003,EC,5,EA,4084011,2024-09-14,closed,
4500000352,00010,2024-09-05,NB,V101,FE-001,EC,233300,KG,8715,2024-10-05,closed,vessel_missed
4500000353,00010,2024-09-05,NB,V101,FE-002,EC,88100,KG,7478,2024-10-05,closed,
4500000354,00010,2024-09-06,NB,V301,FU-001,EC,8000,L,13255,2024-09-11,closed,
4500000355,00010,2024-09-06,NB,V401,SP-001,EC,4,EA,3466633,2024-09-16,closed,
4500000356,00010,2024-09-08,NB,V101,FE-001,EC,233300,KG,8367,2024-10-08,closed,
4500000357,00010,2024-09-08,NB,V101,FE-002,EC,88100,KG,7475,2024-10-08,closed,
4500000358,00010,2024-09-09,NB,V201,AC-002,EC,42,KG,612600,2024-09-30,closed,
4500000359,00010,2024-09-09,NB,V402,SP-002,EC,5,EA,9150037,2024-09-30,closed,
4500000360,00010,2024-09-11,NB,V101,FE-001,EC,233300,KG,8638,2024-10-11,closed,
4500000361,00010,2024-09-12,NB,V201,AC-003,EC,100,L,92280,2024-10-03,closed,
4500000362,00010,2024-09-12,NB,V301,FU-001,EC,8000,L,13193,2024-09-17,closed,
4500000363,00010,2024-09-14,NB,V101,FE-001,EC,233300,KG,8692,2024-10-14,closed,
4500000364,00010,2024-09-17,NB,V101,FE-001,EC,233300,KG,8415,2024-10-17,closed,
4500000365,00010,2024-09-17,NB,V401,SP-007,EC,4,EA,802008,2024-09-27,closed,
4500000366,00010,2024-09-18,NB,V301,FU-001,EC,8000,L,13326,2024-09-23,closed,
4500000367,00010,2024-09-19,NB,V401,SP-001,EC,4,EA,3414339,2024-09-29,closed,
4500000368,00010,2024-09-20,NB,V101,FE-001,EC,233300,KG,8726,2024-10-20,closed,
4500000369,00010,2024-09-20,NB,V402,SP-004,EC,4,EA,655713,2024-10-11,closed,
4500000370,00010,2024-09-20,NB,V402,SP-006,EC,4,EA,1209080,2024-10-11,closed,
4500000371,00010,2024-09-23,NB,V301,FU-001,EC,8000,L,13374,2024-09-28,closed,
4500000372,00010,2024-09-25,NB,V401,SP-005,EC,4,EA,462958,2024-10-05,closed,
4500000373,00010,2024-09-29,NB,V301,FU-001,EC,8000,L,13696,2024-10-04,closed,
4500000374,00010,2024-10-02,NB,V401,SP-003,EC,5,EA,3948541,2024-10-12,closed,
4500000375,00010,2024-10-05,NB,V301,FU-001,EC,8000,L,13857,2024-10-10,closed,
4500000376,00010,2024-10-05,NB,V402,SP-002,EC,5,EA,8781895,2024-10-26,closed,
4500000377,00010,2024-10-07,NB,V401,SP-007,EC,4,EA,823324,2024-10-17,closed,
4500000378,00010,2024-10-10,NB,V201,AC-001,EC,2900,L,68936,2024-10-31,closed,
4500000379,00010,2024-10-11,NB,V301,FU-001,EC,8000,L,13387,2024-10-16,closed,
4500000380,00010,2024-10-14,NB,V402,SP-008,EC,4,EA,2733978,2024-11-04,closed,
4500000381,00010,2024-10-15,NB,V401,SP-001,EC,4,EA,3558326,2024-10-25,closed,
4500000382,00010,2024-10-17,NB,V301,FU-001,EC,8000,L,13544,2024-10-22,closed,
4500000383,00010,2024-10-22,NB,V402,SP-006,EC,4,EA,1221678,2024-11-12,closed,
4500000384,00010,2024-10-23,NB,V201,AC-002,EC,42,KG,617396,2024-11-13,closed,
4500000385,00010,2024-10-23,NB,V301,FU-001,EC,8000,L,13827,2024-10-28,closed,
4500000386,00010,2024-10-29,NB,V201,AC-003,EC,100,L,91329,2024-11-19,closed,
4500000387,00010,2024-10-29,NB,V301,FU-001,EC,8000,L,13680,2024-11-03,closed,
4500000388,00010,2024-11-01,NB,V401,SP-003,EC,5,EA,3973289,2024-11-11,closed,
4500000389,00010,2024-11-04,NB,V301,FU-001,EC,8000,L,13380,2024-11-09,closed,
4500000390,00010,2024-11-04,NB,V402,SP-004,EC,4,EA,642984,2024-11-25,closed,
4500000391,00010,2024-11-07,NB,V401,SP-001,EC,4,EA,3422498,2024-11-17,closed,
4500000392,00010,2024-11-09,NB,V301,FU-001,EC,8000,L,13314,2024-11-14,closed,
4500000393,00010,2024-11-09,NB,V401,SP-005,EC,4,EA,438333,2024-11-19,closed,
4500000394,00010,2024-11-09,NB,V402,SP-006,EC,4,EA,1213277,2024-11-30,closed,
4500000395,00010,2024-11-13,RUSH,V900,SP-006,EC,1,EA,1674581,2024-11-15,closed,
4500000396,00010,2024-11-15,NB,V301,FU-001,EC,8000,L,13196,2024-11-20,closed,
4500000397,00010,2024-11-15,NB,V402,SP-002,EC,5,EA,9155058,2024-12-06,closed,wet_season
4500000398,00010,2024-11-19,NB,V401,SP-007,EC,4,EA,783804,2024-11-29,closed,
4500000399,00010,2024-11-21,NB,V201,AC-001,EC,2900,L,71529,2024-12-12,closed,wet_season
4500000400,00010,2024-11-21,NB,V301,FU-001,EC,8000,L,13671,2024-11-26,closed,
4500000401,00010,2024-11-24,RUSH,V900,AC-003,EC,20,L,113270,2024-11-26,closed,
4500000402,00010,2024-11-25,NB,V402,SP-008,EC,4,EA,2876243,2024-12-16,closed,wet_season
4500000403,00010,2024-11-27,NB,V301,FU-001,EC,8000,L,13809,2024-12-02,closed,wet_season
4500000404,00010,2024-11-27,NB,V402,SP-006,EC,4,EA,1175860,2024-12-18,closed,wet_season
4500000405,00010,2024-11-29,NB,V401,SP-003,EC,5,EA,3942073,2024-12-09,closed,wet_season
4500000406,00010,2024-12-02,NB,V401,SP-001,EC,4,EA,3559799,2024-12-12,closed,wet_season
4500000407,00010,2024-12-03,NB,V201,AC-002,EC,42,KG,599002,2024-12-24,closed,wet_season
4500000408,00010,2024-12-03,NB,V301,FU-001,EC,8000,L,13857,2024-12-08,closed,wet_season
4500000409,00010,2024-12-09,NB,V301,FU-001,EC,8000,L,13096,2024-12-14,closed,wet_season
4500000410,00010,2024-12-09,NB,V401,SP-005,EC,4,EA,451740,2024-12-19,closed,wet_season
4500000411,00010,2024-12-14,NB,V201,AC-003,EC,100,L,88151,2025-01-04,closed,wet_season
4500000412,00010,2024-12-15,NB,V301,FU-001,EC,8000,L,13501,2024-12-20,closed,wet_season
4500000413,00010,2024-12-21,NB,V301,FU-001,EC,8000,L,13581,2024-12-26,closed,wet_season
4500000414,00010,2024-12-25,NB,V401,SP-003,EC,5,EA,4060561,2025-01-04,closed,wet_season
4500000415,00010,2024-12-26,NB,V301,FU-001,EC,8000,L,13165,2024-12-31,closed,wet_season
4500000416,00010,2024-12-28,RUSH,V900,AC-001,EC,200,L,85794,2024-12-30,closed,
4500000417,00010,2024-12-30,NB,V402,SP-008,EC,4,EA,2748707,2025-01-20,closed,wet_season
4500000418,00010,2025-01-01,NB,V301,FU-001,EC,8000,L,13468,2025-01-06,closed,wet_season
4500000419,00010,2025-01-02,NB,V401,SP-001,EC,4,EA,3434125,2025-01-12,closed,wet_season
4500000420,00010,2025-01-03,NB,V201,AC-001,EC,2900,L,68619,2025-01-24,closed,wet_season
4500000421,00010,2025-01-04,NB,V401,SP-005,EC,4,EA,444303,2025-01-14,closed,wet_season
4500000422,00010,2025-01-04,NB,V401,SP-007,EC,4,EA,797023,2025-01-14,closed,wet_season
4500000423,00010,2025-01-06,NB,V301,FU-001,EC,8000,L,13366,2025-01-11,closed,wet_season
4500000424,00010,2025-01-09,NB,V402,SP-004,EC,4,EA,668159,2025-01-30,closed,wet_season
4500000425,00010,2025-01-10,NB,V201,AC-004,EC,5,KG,44037,2025-01-31,closed,wet_season
4500000426,00010,2025-01-10,NB,V402,SP-002,EC,5,EA,8880453,2025-01-31,closed,wet_season
4500000427,00010,2025-01-11,NB,V102,FE-004,EC,13550,KG,21876,2025-02-15,closed,wet_season
4500000428,00010,2025-01-12,NB,V301,FU-001,EC,8000,L,13780,2025-01-17,closed,wet_season
4500000429,00010,2025-01-14,NB,V102,FE-004,EC,13550,KG,21635,2025-02-18,closed,wet_season
4500000430,00010,2025-01-16,NB,V101,FE-001,EC,244450,KG,8679,2025-02-15,closed,wet_season
4500000431,00010,2025-01-16,NB,V101,FE-002,EC,99300,KG,7500,2025-02-15,closed,wet_season
4500000432,00010,2025-01-17,NB,V201,AC-002,EC,42,KG,606071,2025-02-07,closed,wet_season
4500000433,00010,2025-01-17,NB,V102,FE-004,EC,13550,KG,21955,2025-02-21,closed,wet_season
4500000434,00010,2025-01-17,NB,V301,FU-001,EC,8000,L,13244,2025-01-22,closed,wet_season
4500000435,00010,2025-01-18,NB,V103,FE-003,EC,90700,KG,4595,2025-02-15,closed,wet_season
4500000436,00010,2025-01-19,NB,V101,FE-001,EC,244450,KG,8745,2025-02-18,closed,wet_season
4500000437,00010,2025-01-19,NB,V101,FE-002,EC,99300,KG,7441,2025-02-18,closed,wet_season
4500000438,00010,2025-01-20,NB,V102,FE-004,EC,13550,KG,22183,2025-02-24,closed,wet_season
4500000439,00010,2025-01-21,NB,V103,FE-003,EC,90700,KG,4404,2025-02-18,closed,wet_season
4500000440,00010,2025-01-21,NB,V401,SP-005,EC,4,EA,453938,2025-01-31,closed,wet_season
4500000441,00010,2025-01-22,NB,V101,FE-001,EC,244450,KG,8695,2025-02-21,closed,wet_season
4500000442,00010,2025-01-22,NB,V101,FE-002,EC,99300,KG,7596,2025-02-21,closed,wet_season
4500000443,00010,2025-01-22,NB,V301,FU-001,EC,8000,L,13262,2025-01-27,closed,wet_season
4500000444,00010,2025-01-23,NB,V102,FE-004,EC,13550,KG,21814,2025-02-27,closed,wet_season
4500000445,00010,2025-01-24,NB,V103,FE-003,EC,90700,KG,4462,2025-02-21,closed,wet_season
4500000446,00010,2025-01-25,NB,V101,FE-001,EC,244450,KG,8592,2025-02-24,closed,vessel_missed
4500000447,00010,2025-01-25,NB,V101,FE-002,EC,99300,KG,7554,2025-02-24,closed,wet_season
4500000448,00010,2025-01-27,NB,V103,FE-003,EC,90700,KG,4388,2025-02-24,closed,wet_season
4500000449,00010,2025-01-27,NB,V301,FU-001,EC,8000,L,13348,2025-02-01,closed,wet_season
4500000450,00010,2025-01-28,NB,V101,FE-001,EC,244450,KG,8727,2025-02-27,closed,vessel_missed
4500000451,00010,2025-01-28,NB,V101,FE-002,EC,99300,KG,7412,2025-02-27,closed,wet_season
4500000452,00010,2025-01-29,NB,V401,SP-001,EC,4,EA,3537813,2025-02-08,closed,wet_season
4500000453,00010,2025-01-30,NB,V103,FE-003,EC,90700,KG,4606,2025-02-27,closed,wet_season
4500000454,00010,2025-01-31,RUSH,V900,AC-001,EC,200,L,89851,2025-02-02,closed,
4500000455,00010,2025-01-31,NB,V201,AC-003,EC,100,L,90823,2025-02-21,closed,wet_season
4500000456,00010,2025-01-31,NB,V101,FE-001,EC,244450,KG,8580,2025-03-02,closed,wet_season
4500000457,00010,2025-01-31,NB,V101,FE-002,EC,99300,KG,7570,2025-03-02,closed,vessel_missed
4500000458,00010,2025-02-01,NB,V301,FU-001,EC,8000,L,13727,2025-02-06,closed,wet_season
4500000459,00010,2025-02-02,RUSH,V900,AC-001,EC,200,L,85956,2025-02-04,closed,
4500000460,00010,2025-02-02,NB,V103,FE-003,EC,90700,KG,4494,2025-03-02,closed,wet_season
4500000461,00010,2025-02-02,NB,V402,SP-006,EC,4,EA,1168029,2025-02-23,closed,wet_season
4500000462,00010,2025-02-03,NB,V101,FE-001,EC,244450,KG,8497,2025-03-05,closed,wet_season
4500000463,00010,2025-02-03,NB,V101,FE-002,EC,99300,KG,7579,2025-03-05,closed,wet_season
4500000464,00010,2025-02-04,NB,V401,SP-007,EC,4,EA,797581,2025-02-14,closed,wet_season
4500000465,00010,2025-02-06,RUSH,V900,AC-002,EC,5,KG,727789,2025-02-08,closed,
4500000466,00010,2025-02-06,NB,V101,FE-001,EC,244450,KG,8686,2025-03-08,closed,wet_season
4500000467,00010,2025-02-06,NB,V402,SP-008,EC,4,EA,2773304,2025-02-27,closed,wet_season
4500000468,00010,2025-02-07,NB,V301,FU-001,EC,8000,L,13315,2025-02-12,closed,wet_season
4500000469,00010,2025-02-08,NB,V402,SP-002,EC,5,EA,8893168,2025-03-01,closed,wet_season
4500000470,00010,2025-02-09,NB,V101,FE-001,EC,244450,KG,8476,2025-03-11,closed,vessel_missed
4500000471,00010,2025-02-10,NB,V201,AC-001,EC,2900,L,68810,2025-03-03,closed,wet_season
4500000472,00010,2025-02-11,RUSH,V900,SP-002,EC,1,EA,12441530,2025-02-13,closed,
4500000473,00010,2025-02-12,NB,V101,FE-001,EC,244450,KG,8503,2025-03-14,closed,wet_season
4500000474,00010,2025-02-12,NB,V301,FU-001,EC,8000,L,13281,2025-02-17,closed,wet_season
4500000475,00010,2025-02-12,NB,V401,SP-003,EC,5,EA,3914774,2025-02-22,closed,wet_season
4500000476,00010,2025-02-12,NB,V402,SP-004,EC,4,EA,641596,2025-03-05,closed,wet_season
4500000477,00010,2025-02-12,RUSH,V900,SP-004,EC,1,EA,901319,2025-02-14,closed,
4500000478,00010,2025-02-13,RUSH,V900,AC-002,EC,5,KG,762275,2025-02-15,closed,
4500000479,00010,2025-02-13,NB,V401,SP-005,EC,4,EA,451808,2025-02-23,closed,wet_season
4500000480,00010,2025-02-15,NB,V101,FE-001,EC,244450,KG,8742,2025-03-17,closed,wet_season
4500000481,00010,2025-02-17,NB,V301,FU-001,EC,8000,L,13502,2025-02-22,closed,wet_season
4500000482,00010,2025-02-18,NB,V101,FE-001,EC,244450,KG,8703,2025-03-20,closed,wet_season
4500000483,00010,2025-02-18,NB,V402,SP-006,EC,4,EA,1209914,2025-03-11,closed,wet_season
4500000484,00010,2025-02-19,NB,V402,SP-008,EC,4,EA,2723177,2025-03-12,closed,wet_season
4500000485,00010,2025-02-22,NB,V301,FU-001,EC,8000,L,13158,2025-02-27,closed,wet_season
4500000486,00010,2025-02-24,RUSH,V900,AC-003,EC,20,L,111414,2025-02-26,closed,
4500000487,00010,2025-02-25,NB,V401,SP-001,EC,4,EA,3464683,2025-03-07,closed,wet_season
4500000488,00010,2025-02-25,RUSH,V900,SP-006,EC,1,EA,1700035,2025-02-27,closed,
4500000489,00010,2025-02-27,NB,V301,FU-001,EC,8000,L,13545,2025-03-04,closed,wet_season
4500000490,00010,2025-02-27,RUSH,V900,SP-008,EC,1,EA,3835195,2025-03-01,closed,
4500000491,00010,2025-03-03,RUSH,V900,SP-008,EC,1,EA,3985879,2025-03-05,closed,
4500000492,00010,2025-03-04,NB,V301,FU-001,EC,8000,L,13841,2025-03-09,closed,wet_season
4500000493,00010,2025-03-04,NB,V402,SP-004,EC,4,EA,656991,2025-03-25,closed,wet_season
4500000494,00010,2025-03-06,RUSH,V900,SP-008,EC,1,EA,3989312,2025-03-08,closed,
4500000495,00010,2025-03-07,NB,V402,SP-002,EC,5,EA,8874062,2025-03-28,closed,wet_season
4500000496,00010,2025-03-09,NB,V401,SP-001,EC,4,EA,3397126,2025-03-19,closed,wet_season
4500000497,00010,2025-03-10,NB,V301,FU-001,EC,8000,L,13574,2025-03-15,closed,wet_season
4500000498,00010,2025-03-12,RUSH,V900,FE-001,EC,10000,KG,10758,2025-03-14,closed,
4500000499,00010,2025-03-13,RUSH,V900,FE-001,EC,10000,KG,11264,2025-03-15,closed,
4500000500,00010,2025-03-13,RUSH,V900,FE-001,EC,10000,KG,11336,2025-03-15,closed,
4500000501,00010,2025-03-13,RUSH,V900,FE-001,EC,20000,KG,11078,2025-03-15,closed,
4500000502,00010,2025-03-14,RUSH,V900,FE-001,EC,10000,KG,10770,2025-03-16,closed,
4500000503,00010,2025-03-14,RUSH,V900,FE-001,EC,10000,KG,10836,2025-03-16,closed,
4500000504,00010,2025-03-14,NB,V401,SP-007,EC,4,EA,797382,2025-03-24,closed,wet_season
4500000505,00010,2025-03-15,RUSH,V900,FE-001,EC,10000,KG,10941,2025-03-17,closed,
4500000506,00010,2025-03-15,RUSH,V900,FE-001,EC,10000,KG,10741,2025-03-17,closed,
4500000507,00010,2025-03-15,RUSH,V900,FE-001,EC,10000,KG,11000,2025-03-17,closed,
4500000508,00010,2025-03-15,RUSH,V900,FE-001,EC,20000,KG,11185,2025-03-17,closed,
4500000509,00010,2025-03-15,NB,V301,FU-001,EC,8000,L,13765,2025-03-20,closed,wet_season
4500000510,00010,2025-03-19,NB,V201,AC-003,EC,100,L,90031,2025-04-09,closed,
4500000511,00010,2025-03-19,NB,V401,SP-001,EC,4,EA,3408211,2025-03-29,closed,wet_season
4500000512,00010,2025-03-20,NB,V201,AC-002,EC,42,KG,591056,2025-04-10,closed,
4500000513,00010,2025-03-21,NB,V301,FU-001,EC,8000,L,13647,2025-03-26,closed,wet_season
4500000514,00010,2025-03-21,NB,V401,SP-005,EC,4,EA,449165,2025-03-31,closed,wet_season
4500000515,00010,2025-03-26,NB,V301,FU-001,EC,8000,L,13425,2025-03-31,closed,wet_season
4500000516,00010,2025-03-29,NB,V401,SP-003,EC,5,EA,4111523,2025-04-08,closed,
4500000517,00010,2025-04-01,NB,V301,FU-001,EC,8000,L,13487,2025-04-06,closed,
4500000518,00010,2025-04-04,NB,V402,SP-006,EC,4,EA,1225387,2025-04-25,closed,
4500000519,00010,2025-04-06,NB,V301,FU-001,EC,8000,L,13324,2025-04-11,closed,
4500000520,00010,2025-04-09,NB,V402,SP-002,EC,5,EA,8940231,2025-04-30,closed,
4500000521,00010,2025-04-11,NB,V301,FU-001,EC,8000,L,13430,2025-04-16,closed,
4500000522,00010,2025-04-13,NB,V401,SP-001,EC,4,EA,3527190,2025-04-23,closed,
4500000523,00010,2025-04-13,NB,V401,SP-003,EC,5,EA,4101924,2025-04-23,closed,
4500000524,00010,2025-04-13,NB,V401,SP-007,EC,4,EA,795425,2025-04-23,closed,
4500000525,00010,2025-04-15,NB,V301,FU-001,EC,8000,L,13275,2025-04-20,closed,
4500000526,00010,2025-04-18,NB,V402,SP-008,EC,4,EA,2768274,2025-05-09,open,
4500000527,00010,2025-04-20,NB,V301,FU-001,EC,8000,L,13249,2025-04-25,closed,
4500000528,00010,2025-04-21,NB,V402,SP-006,EC,4,EA,1222190,2025-05-12,open,
4500000529,00010,2025-04-25,NB,V301,FU-001,EC,8000,L,13408,2025-04-30,closed,
4500000530,00010,2025-04-28,NB,V402,SP-004,EC,4,EA,642072,2025-05-19,open,
4500000531,00010,2025-04-29,NB,V201,AC-001,EC,2900,L,71604,2025-05-20,open,
4500000532,00010,2025-04-29,NB,V301,FU-001,EC,8000,L,13563,2025-05-04,closed,
4500000533,00010,2025-04-30,RUSH,V900,SP-006,EC,1,EA,1647348,2025-05-02,closed,
4500000534,00010,2025-05-05,NB,V301,FU-001,EC,8000,L,13613,2025-05-10,closed,
4500000535,00010,2025-05-06,NB,V201,AC-003,EC,100,L,88931,2025-05-27,open,
4500000536,00010,2025-05-07,NB,V401,SP-001,EC,4,EA,3603108,2025-05-17,closed,
4500000537,00010,2025-05-08,NB,V402,SP-002,EC,5,EA,9216807,2025-05-29,open,
4500000538,00010,2025-05-09,NB,V301,FU-001,EC,8000,L,13334,2025-05-14,closed,
4500000539,00010,2025-05-10,NB,V401,SP-003,EC,5,EA,3958374,2025-05-20,open,
4500000540,00010,2025-05-10,NB,V402,SP-004,EC,4,EA,642158,2025-05-31,open,
4500000541,00010,2025-05-12,RUSH,V900,SP-004,EC,1,EA,934555,2025-05-14,closed,
4500000542,00010,2025-05-13,NB,V401,SP-005,EC,4,EA,460999,2025-05-23,closed,
4500000543,00010,2025-05-15,NB,V301,FU-001,EC,8000,L,13303,2025-05-20,closed,
4500000544,00010,2025-05-18,RUSH,V900,SP-004,EC,1,EA,921728,2025-05-20,closed,
4500000545,00010,2025-05-19,NB,V301,FU-001,EC,8000,L,13811,2025-05-24,open,
4500000546,00010,2025-05-20,NB,V402,SP-008,EC,4,EA,2757804,2025-06-10,open,
4500000547,00010,2025-05-22,NB,V401,SP-007,EC,4,EA,810827,2025-06-01,open,
