# SYNTHETIC. Palm census. NO table in the 138-table EPMS schema can hold an infected palm, and the only proxy in the export - grading deductions - is degenerate at 0.25% mean. This entire domain is invented. Ganoderma is generated as decaying foci rather than scattered at random, because that is how basal stem rot actually spreads and a random map would be obviously false.
round,census_date,division_code,block_code,palms_planted,palms_inspected,coverage_pct,ganoderma_confirmed,ganoderma_suspect,beetle_damaged,rat_damaged,palms_felled
R3,2025-05-15,4,133,3830,3213,83.9,121,228,35,44,50
R1,2024-11-15,4,134,5064,4142,81.8,190,379,18,7,73
R2,2025-02-15,4,134,5064,4824,95.3,252,496,24,9,19
R3,2025-05-15,4,134,5064,4383,86.6,258,456,25,8,107
R1,2024-11-15,4,135,3879,3121,80.5,106,176,43,4,33
R2,2025-02-15,4,135,3879,2901,74.8,112,227,46,4,6
R3,2025-05-15,4,135,3879,3062,78.9,133,210,55,4,9
R1,2024-11-15,4,136,4573,4113,89.9,133,191,50,29,11
R2,2025-02-15,4,136,4573,3031,66.3,112,220,42,21,41
R3,2025-05-15,4,136,4573,2963,64.8,123,248,46,20,36
R1,2024-11-15,4,137,4181,3121,74.7,81,146,66,4,23
R2,2025-02-15,4,137,4181,3918,93.7,116,216,95,5,33
R3,2025-05-15,4,137,4181,3158,75.5,105,217,86,4,18
R1,2024-11-15,4,138,5357,4564,85.2,179,285,11,31,17
R2,2025-02-15,4,138,5357,4533,84.6,203,326,13,31,17
R3,2025-05-15,4,138,5357,4139,77.3,208,335,13,28,79
R1,2024-11-15,4,139,3636,3218,88.5,125,200,17,18,29
R2,2025-02-15,4,139,3636,2348,64.6,104,190,14,13,13
R3,2025-05-15,4,139,3636,3147,86.6,156,320,22,18,51
R1,2024-11-15,4,140,3921,3286,83.8,34,62,20,10,11
R2,2025-02-15,4,140,3921,2649,67.6,31,49,19,8,6
R3,2025-05-15,4,140,3921,3356,85.6,44,69,27,10,7
R1,2024-11-15,4,141,4127,3510,85.1,40,73,7,5,0
R2,2025-02-15,4,141,4127,3506,85.0,46,76,8,5,18
R3,2025-05-15,4,141,4127,3058,74.1,45,94,8,4,19
R1,2024-11-15,4,142,3642,2746,75.4,40,79,30,0,5
R2,2025-02-15,4,142,3642,3342,91.8,56,98,42,0,17
R3,2025-05-15,4,142,3642,3430,94.2,65,128,48,0,12
R1,2024-11-15,4,143,3572,3042,85.2,54,103,30,0,3
R2,2025-02-15,4,143,3572,2674,74.9,54,109,30,0,1
R3,2025-05-15,4,143,3572,2985,83.6,68,138,37,0,24
R1,2024-11-15,4,144,3484,3180,91.3,80,127,39,10,19
R2,2025-02-15,4,144,3484,2703,77.6,78,151,38,8,5
R3,2025-05-15,4,144,3484,2726,78.2,88,164,43,9,18
R1,2024-11-15,4,145,5029,4574,91.0,150,220,69,20,28
R2,2025-02-15,4,145,5029,4288,85.3,160,261,73,18,51
R3,2025-05-15,4,145,5029,4429,88.1,186,296,85,19,65
R1,2024-11-15,4,146,4014,3720,92.7,122,229,29,14,30
R2,2025-02-15,4,146,4014,3047,75.9,114,220,27,11,27
R3,2025-05-15,4,146,4014,2847,70.9,120,207,29,10,51
R1,2024-11-15,4,147,3647,3086,84.6,31,46,51,17,1
R2,2025-02-15,4,147,3647,2391,65.6,28,53,45,13,9
R3,2025-05-15,4,147,3647,2615,71.7,34,70,55,15,6
R1,2024-11-15,4,148,4599,4051,88.1,14,28,49,7,6
R2,2025-02-15,4,148,4599,3293,71.6,13,21,45,5,2
R3,2025-05-15,4,148,4599,4150,90.3,19,40,64,7,5
R1,2024-11-15,4,149,3652,2443,66.9,17,28,49,10,3
R2,2025-02-15,4,149,3652,2466,67.5,20,29,56,10,5
R3,2025-05-15,4,149,3652,2591,71.0,24,48,66,11,2
R1,2024-11-15,4,150,4328,3123,72.2,34,62,45,13,12
R2,2025-02-15,4,150,4328,2932,67.7,37,59,48,12,7
R3,2025-05-15,4,150,4328,2906,67.2,41,65,54,12,4
R1,2024-11-15,4,151,4293,3248,75.7,34,56,39,16,3
R2,2025-02-15,4,151,4293,3636,84.7,43,85,50,18,18
R3,2025-05-15,4,151,4293,3088,71.9,41,72,47,15,1
R1,2024-11-15,4,152,4261,3467,81.4,52,109,4,18,19
R2,2025-02-15,4,152,4261,3968,93.1,69,134,5,20,3
R3,2025-05-15,4,152,4261,2843,66.7,55,98,4,14,18
R1,2024-11-15,4,153,4870,4256,87.4,60,88,78,19,11
R2,2025-02-15,4,153,4870,3575,73.4,57,116,75,16,2
R3,2025-05-15,4,153,4870,4339,89.1,79,131,102,19,1
R1,2024-11-15,4,154,263,247,94.0,0,0,2,1,0
R2,2025-02-15,4,154,263,229,87.4,0,0,2,1,0
R3,2025-05-15,4,154,263,165,62.9,0,0,2,1,0
R1,2024-11-15,4,155,1608,1455,90.5,0,0,14,0,0
R2,2025-02-15,4,155,1608,1160,72.1,0,0,13,0,0
R3,2025-05-15,4,155,1608,1470,91.5,0,0,18,0,0
R1,2024-11-15,4,156,3083,2615,84.8,16,32,21,13,4
R2,2025-02-15,4,156,3083,1974,64.1,14,25,18,9,3
R3,2025-05-15,4,156,3083,2642,85.7,21,42,27,13,2
R1,2024-11-15,4,157,4702,3166,67.3,5,8,31,0,0
R2,2025-02-15,4,157,4702,3745,79.6,7,11,41,0,2
R3,2025-05-15,4,157,4702,3452,73.4,7,14,43,0,2
R1,2024-11-15,4,158,4535,3085,68.0,25,52,48,0,0
R2,2025-02-15,4,158,4535,3693,81.5,34,48,65,0,13
R3,2025-05-15,4,158,4535,3657,80.6,38,74,73,0,9
R1,2024-11-15,4,159,3688,2618,71.0,10,15,7,2,0
R2,2025-02-15,4,159,3688,2711,73.5,12,18,8,2,3
R3,2025-05-15,4,159,3688,2757,74.8,14,29,10,3,1
R1,2024-11-15,4,160,4768,3937,82.6,18,34,54,19,0
R2,2025-02-15,4,160,4768,3656,76.7,19,38,58,17,7
R3,2025-05-15,4,160,4768,3418,71.7,20,29,61,16,7
R1,2024-11-15,4,163,1805,1215,67.3,2,4,19,2,0
R2,2025-02-15,4,163,1805,1484,82.3,4,6,27,3,1
R3,2025-05-15,4,163,1805,1142,63.3,3,5,23,2,0
R1,2024-11-15,4,164,1892,1457,77.0,7,14,23,5,2
R2,2025-02-15,4,164,1892,1202,63.6,7,12,21,4,0
R3,2025-05-15,4,164,1892,1509,79.8,10,19,30,5,1
R1,2024-11-15,4,165,2407,1841,76.5,5,8,21,0,0
R2,2025-02-15,4,165,2407,1855,77.1,6,11,24,0,1
R3,2025-05-15,4,165,2407,1575,65.4,6,10,23,0,1
R1,2024-11-15,4,166,2139,2005,93.8,1,2,18,0,0
R2,2025-02-15,4,166,2139,1387,64.9,1,1,14,0,0
R3,2025-05-15,4,166,2139,1818,85.0,1,1,21,0,0
R1,2024-11-15,5,168,5088,4790,94.2,124,225,81,58,24
R2,2025-02-15,5,168,5088,4205,82.7,124,200,81,51,7
R3,2025-05-15,5,168,5088,3546,69.7,118,176,77,43,33
R1,2024-11-15,5,169,4816,3399,70.6,121,187,22,35,16
R2,2025-02-15,5,169,4816,4209,87.4,171,322,31,44,61
R3,2025-05-15,5,169,4816,3707,77.0,169,300,31,38,70
R1,2024-11-15,5,170,4069,2629,64.6,121,193,30,38,1
R2,2025-02-15,5,170,4069,3603,88.6,189,283,48,53,8
R3,2025-05-15,5,170,4069,2812,69.1,166,331,42,41,24
R1,2024-11-15,5,171,3156,2376,75.3,127,264,28,24,20
R2,2025-02-15,5,171,3156,2822,89.4,172,303,38,29,31
R3,2025-05-15,5,171,3156,2095,66.4,143,297,32,21,51
R1,2024-11-15,5,172,3585,3351,93.5,166,242,25,26,22
R2,2025-02-15,5,172,3585,2791,77.9,157,248,24,22,64
R3,2025-05-15,5,172,3585,2934,81.9,186,267,28,23,46
R1,2024-11-15,5,173,2610,1726,66.2,119,206,20,7,52
R2,2025-02-15,5,173,2610,1636,62.7,129,225,22,6,29
R3,2025-05-15,5,173,2610,2139,82.0,190,288,32,8,24
R1,2024-11-15,5,174,1495,1254,83.9,77,160,11,10,13
R2,2025-02-15,5,174,1495,1158,77.5,81,118,12,9,34
R3,2025-05-15,5,174,1495,1381,92.4,109,183,16,11,34
R1,2024-11-15,5,176,3735,3558,95.3,141,285,35,31,41
R2,2025-02-15,5,176,3735,3422,91.6,155,242,39,30,38
R3,2025-05-15,5,176,3735,2990,80.1,152,257,38,26,65
R1,2024-11-15,5,177,4044,3131,77.4,159,330,61,33,8
R2,2025-02-15,5,177,4044,3342,82.6,193,362,74,35,72
R3,2025-05-15,5,177,4044,2800,69.2,182,273,70,30,78
R1,2024-11-15,5,178,3940,3013,76.5,152,248,23,27,36
R2,2025-02-15,5,178,3940,2481,63.0,143,287,22,22,33
R3,2025-05-15,5,178,3940,2749,69.8,178,283,27,24,35
R1,2024-11-15,5,179,3503,2963,84.6,197,330,38,28,20
R2,2025-02-15,5,179,3503,2852,81.4,216,375,42,27,68
R3,2025-05-15,5,179,3503,3094,88.3,263,401,52,29,44
R1,2024-11-15,5,180,4069,2524,62.0,166,242,31,29,60
R2,2025-02-15,5,180,4069,2668,65.6,200,401,37,31,24
R3,2025-05-15,5,180,4069,3750,92.2,316,659,59,44,135
R1,2024-11-15,5,181,4278,3026,70.8,212,391,24,20,75
R2,2025-02-15,5,181,4278,4007,93.7,320,559,37,27,113
R3,2025-05-15,5,181,4278,3946,92.3,354,553,41,27,128
R1,2024-11-15,5,182,3277,2178,66.5,131,257,6,0,52
R2,2025-02-15,5,182,3277,2673,81.6,184,294,9,0,74
R3,2025-05-15,5,182,3277,2224,67.9,172,296,8,0,50
R1,2024-11-15,5,184,2615,1821,69.7,43,79,17,14,4
R2,2025-02-15,5,184,2615,1908,73.0,52,107,21,15,0
R3,2025-05-15,5,184,2615,2153,82.3,66,102,27,16,26
R1,2024-11-15,5,185,3823,3500,91.6,89,127,32,28,15
R2,2025-02-15,5,185,3823,2513,65.8,73,127,26,20,3
R3,2025-05-15,5,185,3823,3328,87.1,108,206,39,27,48
R1,2024-11-15,5,186,3810,3450,90.6,133,198,57,27,2
R2,2025-02-15,5,186,3810,2432,63.9,106,151,46,19,2
R3,2025-05-15,5,186,3810,3176,83.4,156,261,67,25,62
R1,2024-11-15,5,187,4350,3570,82.1,162,263,46,29,4
R2,2025-02-15,5,187,4350,3187,73.3,165,336,47,25,68
R3,2025-05-15,5,187,4350,3025,69.5,176,368,50,24,38
R1,2024-11-15,5,188,4256,3299,77.5,141,224,46,17,21
R2,2025-02-15,5,188,4256,3262,76.7,159,285,52,17,69
R3,2025-05-15,5,188,4256,3166,74.4,173,292,57,17,39
R1,2024-11-15,5,189,5082,3818,75.1,179,372,71,31,18
R2,2025-02-15,5,189,5082,3486,68.6,187,350,74,28,16
R3,2025-05-15,5,189,5082,3448,67.8,208,357,83,28,16
R1,2024-11-15,5,190,4128,3676,89.1,148,233,37,10,18
R2,2025-02-15,5,190,4128,3909,94.7,180,365,45,11,32
R3,2025-05-15,5,190,4128,3258,78.9,168,310,42,9,58
R1,2024-11-15,5,192,1558,1329,85.3,15,29,23,14,0
R2,2025-02-15,5,192,1558,1223,78.5,15,31,24,12,0
R3,2025-05-15,5,192,1558,1108,71.1,16,33,24,11,6
R1,2024-11-15,5,193,4116,3564,86.6,61,123,18,42,7
R2,2025-02-15,5,193,4116,3383,82.2,66,130,19,40,4
R3,2025-05-15,5,193,4116,2990,72.7,65,97,19,35,10
R1,2024-11-15,5,194,4121,2613,63.4,34,68,25,31,9
R2,2025-02-15,5,194,4121,3286,79.8,49,81,36,39,20
R3,2025-05-15,5,194,4121,3382,82.1,56,90,41,41,4
R1,2024-11-15,5,195,3968,3296,83.1,53,91,33,30,5
R2,2025-02-15,5,195,3968,3571,90.0,66,112,41,33,20
R3,2025-05-15,5,195,3968,2664,67.2,55,111,34,24,12
R1,2024-11-15,5,196,4531,3425,75.6,60,95,36,9,10
R2,2025-02-15,5,196,4531,3644,80.4,73,142,43,9,11
R3,2025-05-15,5,196,4531,3919,86.5,88,140,52,10,38
R1,2024-11-15,5,197,4215,2906,68.9,48,69,25,20,13
R2,2025-02-15,5,197,4215,3651,86.6,69,131,36,25,22
R3,2025-05-15,5,197,4215,3719,88.2,79,154,41,25,23
R1,2024-11-15,5,198,1407,960,68.3,5,8,11,9,1
R2,2025-02-15,5,198,1407,1183,84.1,8,15,15,11,0
R3,2025-05-15,5,198,1407,1281,91.1,10,15,18,12,1
R1,2024-11-15,5,199,2478,1859,75.0,5,8,9,18,0
R2,2025-02-15,5,199,2478,2250,90.8,7,14,12,22,2
R3,2025-05-15,5,199,2478,2254,91.0,8,17,14,22,2
R1,2024-11-15,5,200,2888,2742,95.0,22,46,38,12,2
R2,2025-02-15,5,200,2888,1827,63.3,17,34,29,8,0
R3,2025-05-15,5,200,2888,2204,76.3,23,46,39,10,0
R1,2024-11-15,5,201,5218,4347,83.3,33,68,66,23,2
R2,2025-02-15,5,201,5218,3735,71.6,32,67,65,20,7
R3,2025-05-15,5,201,5218,4006,76.8,39,72,78,21,16
R1,2024-11-15,5,202,4242,3577,84.3,16,33,29,10,0
R2,2025-02-15,5,202,4242,3259,76.8,16,24,30,9,5
R3,2025-05-15,5,202,4242,3393,80.0,19,28,35,10,0
R1,2024-11-15,5,373,472,354,75.1,1,2,5,0,0
R2,2025-02-15,5,373,472,318,67.4,1,2,5,0,0
R3,2025-05-15,5,373,472,321,68.1,1,2,5,0,0
R1,2024-11-15,6,203,6142,4392,71.5,6,9,49,33,1
R2,2025-02-15,6,203,6142,5271,85.8,9,16,67,40,0
R3,2025-05-15,6,203,6142,4680,76.2,9,16,67,35,3
R1,2024-11-15,6,204,4638,3268,70.5,10,19,69,12,1
R2,2025-02-15,6,204,4638,4384,94.5,16,25,105,16,4
R3,2025-05-15,6,204,4638,3332,71.8,14,27,90,12,5
R1,2024-11-15,6,205,3432,2267,66.1,0,0,18,11,0
R2,2025-02-15,6,205,3432,2665,77.7,0,0,25,13,0
R3,2025-05-15,6,205,3432,2997,87.3,0,0,31,14,0
R1,2024-11-15,6,206,3368,2780,82.6,11,23,24,4,3
R2,2025-02-15,6,206,3368,3095,91.9,14,25,31,5,5
R3,2025-05-15,6,206,3368,2816,83.6,14,30,32,4,4
R1,2024-11-15,6,207,3903,3461,88.7,4,7,52,2,0
R2,2025-02-15,6,207,3903,3338,85.5,5,7,57,2,1
R3,2025-05-15,6,207,3903,2575,66.0,4,5,49,1,0
R1,2024-11-15,6,208,3458,2149,62.2,3,6,31,0,0
R2,2025-02-15,6,208,3458,3141,90.8,5,10,52,0,1
R3,2025-05-15,6,208,3458,2300,66.5,4,6,42,0,1
R1,2024-11-15,6,209,3465,2977,85.9,0,0,45,0,0
R2,2025-02-15,6,209,3465,2567,74.1,0,0,44,0,0
R3,2025-05-15,6,209,3465,2187,63.1,0,0,42,0,0
R1,2024-11-15,6,210,4466,3385,75.8,0,0,25,11,0
R2,2025-02-15,6,210,4466,2953,66.1,0,0,25,10,0
R3,2025-05-15,6,210,4466,3599,80.6,0,0,35,12,0
R1,2024-11-15,6,211,3859,3684,95.5,0,0,41,29,0
R2,2025-02-15,6,211,3859,3361,87.1,0,0,42,26,0
R3,2025-05-15,6,211,3859,3196,82.8,0,0,45,25,0
R1,2024-11-15,6,212,3842,2634,68.6,10,19,30,7,4
R2,2025-02-15,6,212,3842,2558,66.6,11,15,33,7,2
R3,2025-05-15,6,212,3842,2863,74.5,14,25,42,7,2
R1,2024-11-15,6,213,3897,3067,78.7,12,21,29,29,0
R2,2025-02-15,6,213,3897,2567,65.9,11,21,28,24,1
R3,2025-05-15,6,213,3897,2824,72.5,14,26,34,27,4
R1,2024-11-15,6,214,4523,3027,66.9,0,0,45,15,0
R2,2025-02-15,6,214,4523,3589,79.4,0,0,62,17,0
R3,2025-05-15,6,214,4523,4318,95.5,1,1,83,21,0
R1,2024-11-15,6,215,4069,3530,86.8,0,0,34,0,0
R2,2025-02-15,6,215,4069,3365,82.7,0,0,37,0,0
R3,2025-05-15,6,215,4069,3624,89.1,0,0,45,0,0
R1,2024-11-15,6,216,4164,3822,91.8,2,4,76,3,0
R2,2025-02-15,6,216,4164,3465,83.2,2,3,79,3,0
R3,2025-05-15,6,216,4164,3911,93.9,3,6,100,3,1
R1,2024-11-15,6,222,3851,3094,80.3,13,25,42,23,2
R2,2025-02-15,6,222,3851,2931,76.1,14,26,45,21,0
R3,2025-05-15,6,222,3851,3187,82.8,17,24,55,23,1
R1,2024-11-15,6,223,3914,3590,91.7,11,20,64,30,2
R2,2025-02-15,6,223,3914,2506,64.0,8,11,51,21,3
R3,2025-05-15,6,223,3914,2482,63.4,10,19,57,21,3
R1,2024-11-15,6,230,3775,2753,72.9,2,3,25,47,0
R2,2025-02-15,6,230,3775,3553,94.1,3,6,37,61,0
R3,2025-05-15,6,230,3775,2945,78.0,3,4,34,50,0
R1,2024-11-15,6,245,3819,2414,63.2,10,14,32,16,4
R2,2025-02-15,6,245,3819,2696,70.6,13,27,41,18,4
R3,2025-05-15,6,245,3819,2676,70.1,15,29,46,18,1
R1,2024-11-15,6,246,2825,2486,88.0,2,4,28,0,0
R2,2025-02-15,6,246,2825,2104,74.5,2,3,27,0,0
R3,2025-05-15,6,246,2825,2427,85.9,2,3,35,0,0
R1,2024-11-15,6,247,2012,1727,85.9,5,8,13,0,1
R2,2025-02-15,6,247,2012,1421,70.6,5,10,12,0,1
R3,2025-05-15,6,247,2012,1536,76.4,6,10,15,0,2
R1,2024-11-15,6,248,4222,3417,81.0,8,17,56,0,1
R2,2025-02-15,6,248,4222,3516,83.3,9,15,66,0,1
R3,2025-05-15,6,248,4222,2696,63.9,8,16,56,0,1
R1,2024-11-15,6,249,3487,2620,75.1,6,10,38,0,0
R2,2025-02-15,6,249,3487,2811,80.6,7,10,46,0,1
R3,2025-05-15,6,249,3487,2925,83.9,8,13,54,0,0
R1,2024-11-15,6,250,3470,2784,80.2,2,4,26,8,0
R2,2025-02-15,6,250,3470,2525,72.8,2,3,26,7,0
R3,2025-05-15,6,250,3470,3289,94.8,3,5,39,10,0
R1,2024-11-15,6,251,3347,3061,91.5,9,13,30,18,1
R2,2025-02-15,6,251,3347,2639,78.9,9,19,29,16,2
R3,2025-05-15,6,251,3347,2785,83.2,11,20,35,16,2
R1,2024-11-15,6,252,4169,3884,93.2,23,32,56,6,6
R2,2025-02-15,6,252,4169,3891,93.3,26,50,64,6,11
R3,2025-05-15,6,252,4169,3325,79.8,25,48,61,5,1
R1,2024-11-15,6,253,2770,2431,87.8,9,13,22,3,2
R2,2025-02-15,6,253,2770,1767,63.8,8,15,18,2,0
R3,2025-05-15,6,253,2770,2186,79.0,11,23,26,3,2
R1,2024-11-15,6,254,2702,1980,73.3,3,5,25,13,0
R2,2025-02-15,6,254,2702,2482,91.9,4,8,35,17,0
R3,2025-05-15,6,254,2702,2487,92.1,5,9,40,17,1
R1,2024-11-15,6,255,3854,3051,79.2,0,0,36,0,0
R2,2025-02-15,6,255,3854,3328,86.4,0,0,45,0,0
R3,2025-05-15,6,255,3854,2400,62.3,0,0,37,0,0
R1,2024-11-15,6,256,3984,2917,73.2,0,0,31,12,0
R2,2025-02-15,6,256,3984,2819,70.8,0,0,35,12,0
R3,2025-05-15,6,256,3984,2625,65.9,0,0,36,11,0
R1,2024-11-15,6,257,3717,3310,89.1,15,28,39,0,4
R2,2025-02-15,6,257,3717,3453,92.9,18,26,46,0,1
R3,2025-05-15,6,257,3717,3302,88.8,19,31,50,0,7
R1,2024-11-15,6,258,1503,1230,81.9,4,6,20,1,1
R2,2025-02-15,6,258,1503,968,64.4,3,5,18,1,0
R3,2025-05-15,6,258,1503,1410,93.8,6,12,29,1,1
R1,2024-11-15,6,259,4048,3784,93.5,5,11,55,23,0
R2,2025-02-15,6,259,4048,3016,74.5,5,9,50,18,1
R3,2025-05-15,6,259,4048,2937,72.6,5,8,55,18,1
R1,2024-11-15,6,260,2145,1593,74.3,6,8,21,9,2
R2,2025-02-15,6,260,2145,1561,72.8,6,11,24,9,2
R3,2025-05-15,6,260,2145,1632,76.1,8,16,28,9,0
R1,2024-11-15,6,261,2699,1815,67.3,2,4,22,18,0
R2,2025-02-15,6,261,2699,2040,75.6,3,5,29,20,0
R3,2025-05-15,6,261,2699,1911,70.8,3,4,30,19,0
R1,2024-11-15,6,262,3619,2539,70.2,1,1,38,9,0
R2,2025-02-15,6,262,3619,2889,79.8,1,2,49,10,0
R3,2025-05-15,6,262,3619,3223,89.1,2,3,62,11,0
R1,2024-11-15,6,263,3887,3559,91.6,6,9,49,8,2
R2,2025-02-15,6,263,3887,3363,86.5,7,11,53,8,1
R3,2025-05-15,6,263,3887,3629,93.4,8,14,64,8,0
R1,2024-11-15,6,264,1610,1219,75.8,8,14,18,7,2
R2,2025-02-15,6,264,1610,1009,62.7,8,11,17,6,0
R3,2025-05-15,6,264,1610,1069,66.4,9,15,20,6,0
R1,2024-11-15,6,265,2332,1680,72.0,1,1,21,9,0
R2,2025-02-15,6,265,2332,1853,79.5,2,3,27,9,0
R3,2025-05-15,6,265,2332,2103,90.2,2,4,34,11,0
R1,2024-11-15,6,266,3832,3451,90.1,14,28,10,28,1
R2,2025-02-15,6,266,3832,2641,68.9,12,19,9,22,2
R3,2025-05-15,6,266,3832,2529,66.0,13,25,10,21,0
R1,2024-11-15,6,267,2409,1849,76.8,0,0,24,22,0
R2,2025-02-15,6,267,2409,1954,81.1,0,0,29,23,0
R3,2025-05-15,6,267,2409,1614,67.0,0,0,27,19,0
R1,2024-11-15,6,268,2581,2070,80.2,0,0,29,28,0
R2,2025-02-15,6,268,2581,2123,82.3,0,0,34,28,0
R3,2025-05-15,6,268,2581,2194,85.0,0,0,40,29,0
R1,2024-11-15,6,269,2736,2278,83.3,3,5,29,28,0
R2,2025-02-15,6,269,2736,1998,73.0,3,4,29,24,0
R3,2025-05-15,6,269,2736,1921,70.2,3,5,31,24,0
R1,2024-11-15,6,270,1903,1459,76.7,3,5,13,11,0
R2,2025-02-15,6,270,1903,1742,91.6,5,8,18,13,2
R3,2025-05-15,6,270,1903,1526,80.2,5,8,18,11,0
R1,2024-11-15,6,271,2796,1892,67.7,0,0,29,14,0
R2,2025-02-15,6,271,2796,2528,90.4,0,0,44,19,0
R3,2025-05-15,6,271,2796,2671,95.6,0,0,52,20,0
R1,2024-11-15,6,272,3285,2108,64.2,0,0,36,19,0
R2,2025-02-15,6,272,3285,2284,69.6,0,0,45,20,0
R3,2025-05-15,6,272,3285,2309,70.3,0,0,51,21,0
R1,2024-11-15,6,379,5372,4424,82.4,29,41,84,14,4
R2,2025-02-15,6,379,5372,4608,85.8,34,61,100,15,10
R3,2025-05-15,6,379,5372,4601,85.7,39,63,113,15,8
R1,2024-11-15,6,380,4207,2730,64.9,13,23,27,13,5
R2,2025-02-15,6,380,4207,2703,64.3,15,31,31,12,0
R3,2025-05-15,6,380,4207,3144,74.7,20,35,40,14,2
R1,2024-11-15,7,287,1843,1356,73.6,1,1,27,1,0
R2,2025-02-15,7,287,1843,1667,90.5,1,1,39,2,0
R3,2025-05-15,7,287,1843,1191,64.7,1,2,31,1,0
R1,2024-11-15,7,288,900,710,78.9,2,5,1,2,0
R2,2025-02-15,7,288,900,604,67.1,2,3,1,1,0
R3,2025-05-15,7,288,900,704,78.2,3,5,2,2,0
R1,2024-11-15,7,289,2379,1501,63.1,0,0,25,1,0
R2,2025-02-15,7,289,2379,1590,66.8,0,0,31,1,0
R3,2025-05-15,7,289,2379,2083,87.6,0,0,45,2,0
R1,2024-11-15,7,290,2977,2368,79.6,0,0,31,15,0
R2,2025-02-15,7,290,2977,2167,72.8,0,0,33,13,0
R3,2025-05-15,7,290,2977,2665,89.5,0,0,45,17,0
R1,2024-11-15,7,291,3505,3259,93.0,0,0,33,0,0
R2,2025-02-15,7,291,3505,2371,67.7,0,0,27,0,0
R3,2025-05-15,7,291,3505,3293,94.0,0,0,43,0,0
R1,2024-11-15,7,292,2599,2103,80.9,15,22,20,15,2
R2,2025-02-15,7,292,2599,2100,80.8,17,31,23,15,4
R3,2025-05-15,7,292,2599,2334,89.8,22,44,28,17,6
R1,2024-11-15,7,293,3360,2921,86.9,10,17,41,18,2
R2,2025-02-15,7,293,3360,2268,67.5,9,16,36,14,0
R3,2025-05-15,7,293,3360,2475,73.7,11,21,44,15,3
R1,2024-11-15,7,294,1634,1559,95.4,19,27,21,0,1
R2,2025-02-15,7,294,1634,1303,79.8,18,35,20,0,5
R3,2025-05-15,7,294,1634,1567,96.0,24,45,28,0,0
R1,2024-11-15,7,295,1725,1147,66.5,10,14,8,7,2
R2,2025-02-15,7,295,1725,1537,89.1,16,33,12,10,2
R3,2025-05-15,7,295,1725,1495,86.7,17,27,13,10,3
R1,2024-11-15,7,296,3632,2260,62.2,7,10,20,9,0
R2,2025-02-15,7,296,3632,2429,66.9,8,16,24,10,3
R3,2025-05-15,7,296,3632,2556,70.4,10,14,29,10,2
R1,2024-11-15,7,297,3945,2547,64.6,3,4,34,8,0
R2,2025-02-15,7,297,3945,3729,94.5,5,9,58,12,0
R3,2025-05-15,7,297,3945,2450,62.1,3,6,43,8,1
R1,2024-11-15,7,298,3585,2958,82.5,7,13,24,28,1
R2,2025-02-15,7,298,3585,2707,75.5,7,14,25,26,1
R3,2025-05-15,7,298,3585,3063,85.4,9,13,32,29,3
R1,2024-11-15,7,299,3548,3209,90.5,25,37,26,10,8
R2,2025-02-15,7,299,3548,2637,74.3,23,35,24,8,6
R3,2025-05-15,7,299,3548,2244,63.3,22,39,23,7,0
R1,2024-11-15,7,300,2719,1816,66.8,19,33,31,11,3
R2,2025-02-15,7,300,2719,2456,90.4,30,58,48,14,1
R3,2025-05-15,7,300,2719,2416,88.9,33,62,53,14,9
R1,2024-11-15,7,301,1414,1202,85.1,11,20,11,2,4
R2,2025-02-15,7,301,1414,951,67.3,10,14,10,2,1
R3,2025-05-15,7,301,1414,1175,83.2,14,26,14,2,2
R1,2024-11-15,7,302,3949,3080,78.0,68,103,48,14,15
R2,2025-02-15,7,302,3949,3003,76.1,76,123,53,14,25
R3,2025-05-15,7,302,3949,2979,75.4,84,175,59,14,14
R1,2024-11-15,7,303,4841,3412,70.5,91,178,55,17,25
R2,2025-02-15,7,303,4841,4373,90.3,133,199,81,22,36
R3,2025-05-15,7,303,4841,3777,78.0,129,268,78,19,7
R1,2024-11-15,7,304,3910,3169,81.0,1,2,31,46,0
R2,2025-02-15,7,304,3910,2509,64.2,1,2,28,36,0
R3,2025-05-15,7,304,3910,2520,64.5,1,1,32,36,0
R1,2024-11-15,7,305,3613,3344,92.6,11,15,38,28,1
R2,2025-02-15,7,305,3613,3302,91.4,12,22,43,27,4
R3,2025-05-15,7,305,3613,2487,68.9,10,15,36,20,2
R1,2024-11-15,7,306,3172,2272,71.6,16,33,38,16,5
R2,2025-02-15,7,306,3172,2080,65.6,17,26,40,15,2
R3,2025-05-15,7,306,3172,3031,95.6,28,55,65,22,2
R1,2024-11-15,7,307,1463,1084,74.1,2,3,13,14,0
R2,2025-02-15,7,307,1463,1096,75.0,2,3,16,14,0
R3,2025-05-15,7,307,1463,949,64.9,2,3,15,12,0
R1,2024-11-15,7,308,2160,1602,74.2,5,8,11,18,1
R2,2025-02-15,7,308,2160,1821,84.3,6,12,15,21,2
R3,2025-05-15,7,308,2160,1373,63.6,5,9,12,16,1
R1,2024-11-15,7,309,3378,2909,86.1,26,43,42,11,10
R2,2025-02-15,7,309,3378,2964,87.8,30,61,48,11,8
R3,2025-05-15,7,309,3378,2418,71.6,28,45,44,9,3
R1,2024-11-15,7,310,4148,2810,67.8,41,80,27,28,16
R2,2025-02-15,7,310,4148,3522,84.9,58,105,39,35,25
R3,2025-05-15,7,310,4148,3075,74.1,57,91,38,31,18
