# SYNTHETIC. Forward block forecast in bunches. The real export ends 2025-05-23; these months are generated so the time scrubber has a forward half.
division_code,block_code,month,horizon,p10,p50,p90
3,117,2025-10,5,1255,2250,3244
3,117,2025-11,6,1165,2375,3585
3,118,2025-06,1,1337,1575,1813
3,118,2025-07,2,1193,1511,1828
3,118,2025-08,3,1120,1532,1944
3,118,2025-09,4,1135,1688,2240
3,118,2025-10,5,1027,1673,2319
3,118,2025-11,6,945,1702,2460
3,119,2025-06,1,600,733,867
3,119,2025-07,2,555,743,930
3,119,2025-08,3,506,748,989
3,119,2025-09,4,463,764,1065
3,119,2025-10,5,458,856,1254
3,119,2025-11,6,398,857,1316
3,120,2025-06,1,2143,2553,2963
3,120,2025-07,2,1876,2415,2953
3,120,2025-08,3,1719,2406,3093
3,120,2025-09,4,1730,2654,3578
3,120,2025-10,5,1607,2725,3844
3,120,2025-11,6,1505,2855,4206
3,121,2025-06,1,766,918,1071
3,121,2025-07,2,654,850,1046
3,121,2025-08,3,651,923,1195
3,121,2025-09,4,588,918,1248
3,121,2025-10,5,565,981,1397
3,121,2025-11,6,513,1004,1494
3,369,2025-06,1,584,693,802
3,369,2025-07,2,552,706,860
3,369,2025-08,3,542,751,961
3,369,2025-09,4,507,768,1028
3,369,2025-10,5,511,852,1194
3,369,2025-11,6,460,855,1250
3,370,2025-06,1,345,424,504
3,370,2025-07,2,296,401,505
3,370,2025-08,3,281,421,561
3,370,2025-09,4,259,436,613
3,370,2025-10,5,248,476,703
3,370,2025-11,6,224,498,773
4,122,2025-06,1,1943,2222,2502
4,122,2025-07,2,1754,2124,2495
4,122,2025-08,3,1719,2213,2707
4,122,2025-09,4,1688,2320,2952
4,122,2025-10,5,1681,2476,3272
4,122,2025-11,6,1605,2547,3489
4,123,2025-06,1,1718,2024,2329
4,123,2025-07,2,1526,1931,2336
4,123,2025-08,3,1555,2126,2698
4,123,2025-09,4,1471,2187,2903
4,123,2025-10,5,1358,2212,3067
4,123,2025-11,6,1301,2344,3387
4,124,2025-06,1,1883,2253,2623
4,124,2025-07,2,1729,2240,2751
4,124,2025-08,3,1570,2218,2866
4,124,2025-09,4,1494,2321,3147
4,124,2025-10,5,1452,2502,3553
4,124,2025-11,6,1387,2687,3987
4,125,2025-06,1,1479,1806,2134
4,125,2025-07,2,1446,1933,2419
4,125,2025-08,3,1368,2018,2668
4,125,2025-09,4,1238,2039,2840
4,125,2025-10,5,1250,2329,3407
4,125,2025-11,6,1164,2496,3827
4,126,2025-06,1,1032,1250,1468
4,126,2025-07,2,964,1273,1581
4,126,2025-08,3,908,1317,1726
4,126,2025-09,4,863,1388,1913
4,126,2025-10,5,840,1518,2195
4,126,2025-11,6,772,1588,2405
4,127,2025-06,1,590,748,907
4,127,2025-07,2,551,781,1010
4,127,2025-08,3,491,787,1084
4,127,2025-09,4,453,836,1220
4,127,2025-10,5,414,901,1388
4,127,2025-11,6,356,944,1532
4,128,2025-06,1,7027,7863,8698
4,128,2025-07,2,6771,7943,9115
4,128,2025-08,3,6701,8262,9822
4,128,2025-09,4,7036,9140,11245
4,128,2025-10,5,6972,9570,12168
4,128,2025-11,6,7163,10425,13686
4,129,2025-06,1,5022,5737,6451
4,129,2025-07,2,4518,5462,6407
4,129,2025-08,3,4489,5765,7041
4,129,2025-09,4,4642,6357,8073
4,129,2025-10,5,4731,6939,9147
4,129,2025-11,6,4404,6953,9503
4,130,2025-06,1,6688,7869,9051
4,130,2025-07,2,5922,7482,9043
4,130,2025-08,3,5931,8091,10251
4,130,2025-09,4,5860,8686,11512
4,130,2025-10,5,5480,8893,12306
4,130,2025-11,6,5487,9837,14186
4,131,2025-06,1,6777,7995,9213
4,131,2025-07,2,6053,7677,9302
4,131,2025-08,3,5975,8194,10413
4,131,2025-09,4,5772,8616,11460
4,131,2025-10,5,5768,9444,13121
4,131,2025-11,6,5303,9616,13928
4,132,2025-06,1,6946,8291,9636
4,132,2025-07,2,6230,8042,9854
4,132,2025-08,3,5897,8288,10678
4,132,2025-09,4,5700,8789,11879
4,132,2025-10,5,5617,9596,13574
4,132,2025-11,6,5068,9704,14339
4,133,2025-06,1,8082,9408,10733
4,133,2025-07,2,7301,9077,10853
4,133,2025-08,3,7685,10253,12822
4,133,2025-09,4,7597,10936,14275
4,133,2025-10,5,7360,11501,15643
4,133,2025-11,6,7591,12974,18356
4,134,2025-06,1,7703,8895,10087
4,134,2025-07,2,6912,8492,10073
4,134,2025-08,3,6946,9119,11291
4,134,2025-09,4,6899,9721,12543
4,134,2025-10,5,6531,9932,13333
4,134,2025-11,6,6629,10949,15269
4,135,2025-06,1,5755,6667,7579
4,135,2025-07,2,5261,6495,7729
4,135,2025-08,3,5196,6866,8535
4,135,2025-09,4,5078,7216,9355
4,135,2025-10,5,4759,7317,9875
4,135,2025-11,6,4785,8011,11238
4,136,2025-06,1,5793,6885,7977
4,136,2025-07,2,5265,6752,8239
4,136,2025-08,3,5147,7168,9189
4,136,2025-09,4,5039,7676,10314
4,136,2025-10,5,4679,7867,11055
4,136,2025-11,6,4465,8376,12286
4,137,2025-06,1,5071,6240,7410
4,137,2025-07,2,4347,5877,7406
4,137,2025-08,3,4079,6117,8155
4,137,2025-09,4,3868,6513,9157
4,137,2025-10,5,3502,6721,9940
4,137,2025-11,6,3296,7354,11412
4,138,2025-06,1,6907,8438,9970
4,138,2025-07,2,6155,8230,10304
4,138,2025-08,3,5813,8583,11353
4,138,2025-09,4,5347,8813,12278
4,138,2025-10,5,5279,9847,14414
4,138,2025-11,6,4491,9647,14802
4,139,2025-06,1,6628,7698,8767
4,139,2025-07,2,6301,7807,9314
4,139,2025-08,3,6483,8610,10737
4,139,2025-09,4,6358,9097,11836
4,139,2025-10,5,6183,9587,12992
4,139,2025-11,6,6317,10692,15066
4,140,2025-06,1,6453,7608,8764
4,140,2025-07,2,5776,7320,8864
4,140,2025-08,3,5374,7361,9349
4,140,2025-09,4,5560,8287,11014
4,140,2025-10,5,5164,8440,11716
4,140,2025-11,6,5154,9323,13493
4,141,2025-06,1,6385,7465,8545
4,141,2025-07,2,5763,7212,8662
4,141,2025-08,3,5507,7414,9321
4,141,2025-09,4,5452,7942,10432
4,141,2025-10,5,5333,8462,11591
4,141,2025-11,6,5228,9110,12991
4,142,2025-06,1,5672,6560,7448
4,142,2025-07,2,5556,6842,8127
4,142,2025-08,3,5370,7071,8772
4,142,2025-09,4,5133,7262,9391
4,142,2025-10,5,5288,8084,10879
4,142,2025-11,6,4861,8081,11301
4,143,2025-06,1,6251,7098,7944
4,143,2025-07,2,5874,7039,8205
4,143,2025-08,3,5684,7213,8742
4,143,2025-09,4,5773,7783,9794
4,143,2025-10,5,5826,8380,10933
4,143,2025-11,6,5651,8708,11765
4,144,2025-06,1,4296,5046,5795
4,144,2025-07,2,3941,4965,5990
4,144,2025-08,3,3853,5235,6618
4,144,2025-09,4,3654,5389,7124
4,144,2025-10,5,3538,5704,7869
4,144,2025-11,6,3489,6201,8914
4,145,2025-06,1,5157,6298,7438
4,145,2025-07,2,4685,6259,7833
4,145,2025-08,3,4297,6337,8377
4,145,2025-09,4,4135,6805,9474
4,145,2025-10,5,3988,7422,10857
4,145,2025-11,6,3642,7801,11960
4,146,2025-06,1,6021,7093,8166
4,146,2025-07,2,5492,6952,8412
4,146,2025-08,3,5309,7261,9213
4,146,2025-09,4,5016,7460,9904
4,146,2025-10,5,5110,8327,11545
4,146,2025-11,6,4978,8972,12966
4,147,2025-06,1,5046,5803,6561
4,147,2025-07,2,4655,5686,6717
4,147,2025-08,3,4490,5847,7205
4,147,2025-09,4,4221,5887,7552
4,147,2025-10,5,4291,6440,8589
4,147,2025-11,6,4359,7082,9805
4,148,2025-06,1,6168,7275,8382
4,148,2025-07,2,5994,7600,9206
4,148,2025-08,3,5387,7385,9382
4,148,2025-09,4,5292,7895,10498
4,148,2025-10,5,5082,8315,11548
4,148,2025-11,6,4812,8717,12622
4,149,2025-06,1,5427,6221,7015
4,149,2025-07,2,5187,6304,7422
4,149,2025-08,3,5053,6536,8020
4,149,2025-09,4,5036,6961,8887
4,149,2025-10,5,4901,7274,9648
4,149,2025-11,6,4820,7723,10627
4,150,2025-06,1,6337,7424,8512
4,150,2025-07,2,6157,7730,9303
4,150,2025-08,3,5814,7861,9908
4,150,2025-09,4,5800,8496,11192
4,150,2025-10,5,5538,8851,12164
4,150,2025-11,6,5281,9286,13290
4,151,2025-06,1,5939,6894,7849
4,151,2025-07,2,5532,6849,8167
4,151,2025-08,3,5384,7143,8902
4,151,2025-09,4,5420,7744,10069
4,151,2025-10,5,5381,8329,11278
4,151,2025-11,6,5154,8704,12254
4,152,2025-06,1,7600,9001,10403
4,152,2025-07,2,6762,8627,10493
4,152,2025-08,3,6696,9259,11821
4,152,2025-09,4,6369,9611,12853
4,152,2025-10,5,6235,10355,14475
4,152,2025-11,6,5871,10841,15810
4,153,2025-06,1,6530,8169,9807
4,153,2025-07,2,5896,8173,10450
4,153,2025-08,3,5350,8315,11280
4,153,2025-09,4,4908,8681,12453
4,153,2025-10,5,4805,9858,14911
4,153,2025-11,6,4111,10040,15970
4,154,2025-06,1,420,500,580
4,154,2025-07,2,378,487,595
4,154,2025-08,3,364,509,654
4,154,2025-09,4,360,552,743
4,154,2025-10,5,343,580,817
4,154,2025-11,6,334,632,931
4,155,2025-06,1,3028,3590,4152
4,155,2025-07,2,2768,3537,4306
4,155,2025-08,3,2679,3711,4744
4,155,2025-09,4,2696,4079,5462
4,155,2025-10,5,2669,4448,6227
4,155,2025-11,6,2526,4686,6845
4,156,2025-06,1,4305,4950,5596
4,156,2025-07,2,4015,4903,5791
4,156,2025-08,3,3895,5070,6246
4,156,2025-09,4,3786,5276,6767
4,156,2025-10,5,3664,5495,7327
4,156,2025-11,6,3508,5695,7881
4,157,2025-06,1,6125,6945,7766
4,157,2025-07,2,5857,7007,8156
4,157,2025-08,3,5521,6988,8455
4,157,2025-09,4,5434,7303,9172
4,157,2025-10,5,5489,7862,10235
4,157,2025-11,6,5475,8394,11313
4,158,2025-06,1,5104,5828,6552
4,158,2025-07,2,4508,5448,6388
4,158,2025-08,3,4493,5767,7041
4,158,2025-09,4,4302,5887,7471
4,158,2025-10,5,4168,6107,8047
4,158,2025-11,6,3966,6254,8543
4,159,2025-06,1,7013,8165,9316
4,159,2025-07,2,6450,8022,9594
4,159,2025-08,3,6228,8313,10397
4,159,2025-09,4,6208,8940,11672
4,159,2025-10,5,6087,9517,12948
4,159,2025-11,6,5837,9983,14129
4,160,2025-06,1,6787,7967,9146
4,160,2025-07,2,6194,7798,9402
4,160,2025-08,3,5708,7748,9788
4,160,2025-09,4,5865,8636,11407
4,160,2025-10,5,5661,9108,12555
4,160,2025-11,6,5329,9451,13572
4,163,2025-06,1,2400,2911,3422
4,163,2025-07,2,2229,2949,3668
4,163,2025-08,3,2105,3061,4017
4,163,2025-09,4,2001,3230,4459
4,163,2025-10,5,1928,3498,5068
4,163,2025-11,6,1764,3654,5544
4,164,2025-06,1,2554,3081,3607
4,164,2025-07,2,2403,3151,3898
4,164,2025-08,3,2226,3197,4169
4,164,2025-09,4,2055,3263,4471
4,164,2025-10,5,2033,3608,5184
4,164,2025-11,6,1817,3656,5495
4,165,2025-06,1,2809,3392,3974
4,165,2025-07,2,2535,3329,4123
4,165,2025-08,3,2441,3514,4587
4,165,2025-09,4,2331,3713,5095
4,165,2025-10,5,2116,3771,5426
4,165,2025-11,6,1970,3986,6002
4,166,2025-06,1,2792,3279,3766
4,166,2025-07,2,2623,3306,3988
4,166,2025-08,3,2573,3498,4422
4,166,2025-09,4,2458,3625,4793
4,166,2025-10,5,2450,3951,5452
4,166,2025-11,6,2329,4142,5955
5,168,2025-06,1,6746,7809,8873
5,168,2025-07,2,6403,7897,9390
5,168,2025-08,3,5972,7879,9786
5,168,2025-09,4,6072,8613,11154
5,168,2025-10,5,5739,8802,11864
5,168,2025-11,6,5548,9261,12974
5,169,2025-06,1,5655,6411,7166
5,169,2025-07,2,5060,6051,7041
5,169,2025-08,3,5022,6354,7685
5,169,2025-09,4,4857,6523,8189
5,169,2025-10,5,4652,6657,8662
5,169,2025-11,6,4624,7082,9540
5,170,2025-06,1,4721,5436,6151
5,170,2025-07,2,4390,5371,6353
5,170,2025-08,3,4395,5737,7079
5,170,2025-09,4,4205,5882,7558
5,170,2025-10,5,4075,6139,8202
5,170,2025-11,6,4135,6750,9364
5,171,2025-06,1,4760,5386,6013
5,171,2025-07,2,4774,5693,6613
5,171,2025-08,3,4524,5703,6882
5,171,2025-09,4,4609,6162,7714
5,171,2025-10,5,4653,6621,8588
5,171,2025-11,6,4459,6780,9101
5,172,2025-06,1,5880,6748,7616
5,172,2025-07,2,5322,6480,7637
5,172,2025-08,3,5362,6951,8540
5,172,2025-09,4,5216,7230,9245
5,172,2025-10,5,5233,7795,10357
5,172,2025-11,6,5023,8085,11146
5,173,2025-06,1,2961,3443,3924
5,173,2025-07,2,2678,3325,3971
5,173,2025-08,3,2466,3282,4099
5,173,2025-09,4,2481,3561,4641
5,173,2025-10,5,2412,3755,5098
5,173,2025-11,6,2364,4020,5677
5,174,2025-06,1,1590,1890,2190
5,174,2025-07,2,1433,1839,2244
5,174,2025-08,3,1279,1782,2284
5,174,2025-09,4,1209,1843,2476
5,174,2025-10,5,1220,2052,2884
5,174,2025-11,6,1135,2129,3123
5,176,2025-06,1,4198,4989,5780
5,176,2025-07,2,3883,4979,6075
5,176,2025-08,3,3783,5268,6753
5,176,2025-09,4,3706,5645,7585
5,176,2025-10,5,3541,5953,8366
5,176,2025-11,6,3139,5888,8636
5,177,2025-06,1,5766,6646,7526
5,177,2025-07,2,5109,6261,7412
5,177,2025-08,3,5135,6716,8297
5,177,2025-09,4,4931,6915,8899
5,177,2025-10,5,5092,7697,10302
5,177,2025-11,6,4700,7704,10707
5,178,2025-06,1,6656,7557,8459
5,178,2025-07,2,6074,7280,8486
5,178,2025-08,3,6443,8177,9910
5,178,2025-09,4,6064,8177,10290
5,178,2025-10,5,6280,9033,11786
5,178,2025-11,6,5988,9229,12469
5,179,2025-06,1,4602,5537,6473
5,179,2025-07,2,4279,5591,6903
5,179,2025-08,3,4203,6008,7812
5,179,2025-09,4,4055,6397,8738
5,179,2025-10,5,3679,6475,9270
5,179,2025-11,6,3597,7158,10720
5,180,2025-06,1,5425,6374,7322
5,180,2025-07,2,5040,6353,7666
5,180,2025-08,3,4860,6608,8356
5,180,2025-09,4,4824,7119,9414
5,180,2025-10,5,4612,7442,10271
5,180,2025-11,6,4544,8086,11628
5,181,2025-06,1,5157,5863,6570
5,181,2025-07,2,5064,6082,7101
5,181,2025-08,3,4849,6171,7493
5,181,2025-09,4,4728,6399,8070
5,181,2025-10,5,4604,6654,8703
5,181,2025-11,6,4565,7077,9589
5,182,2025-06,1,5870,6933,7996
5,182,2025-07,2,5133,6522,7910
5,182,2025-08,3,5079,6982,8885
5,182,2025-09,4,5087,7617,10148
5,182,2025-10,5,5112,8405,11698
5,182,2025-11,6,4882,8899,12917
5,184,2025-06,1,3407,4019,4631
5,184,2025-07,2,3173,4025,4876
5,184,2025-08,3,3206,4396,5586
5,184,2025-09,4,2969,4431,5894
5,184,2025-10,5,2853,4671,6489
5,184,2025-11,6,2782,5043,7305
5,185,2025-06,1,4566,5207,5849
5,185,2025-07,2,4451,5369,6287
5,185,2025-08,3,4189,5363,6537
5,185,2025-09,4,4299,5863,7427
5,185,2025-10,5,4352,6351,8350
5,185,2025-11,6,3974,6234,8494
5,186,2025-06,1,4649,5463,6277
5,186,2025-07,2,4273,5388,6504
5,186,2025-08,3,4102,5581,7060
5,186,2025-09,4,4052,5985,7918
5,186,2025-10,5,3882,6271,8660
5,186,2025-11,6,3841,6846,9850
5,187,2025-06,1,5149,5820,6492
5,187,2025-07,2,4873,5804,6734
5,187,2025-08,3,4702,5916,7130
5,187,2025-09,4,4537,6050,7563
5,187,2025-10,5,4715,6688,8661
5,187,2025-11,6,4500,6817,9134
5,188,2025-06,1,5129,5998,6867
5,188,2025-07,2,5064,6341,7617
5,188,2025-08,3,4805,6473,8141
5,188,2025-09,4,4522,6591,8661
5,188,2025-10,5,4602,7310,10018
5,188,2025-11,6,4342,7574,10807
5,189,2025-06,1,5679,6564,7450
5,189,2025-07,2,5552,6831,8111
5,189,2025-08,3,5320,6997,8675
5,189,2025-09,4,5036,7114,9193
5,189,2025-10,5,4964,7574,10184
5,189,2025-11,6,4656,7721,10787
5,190,2025-06,1,7304,8433,9563
5,190,2025-07,2,6596,8103,9611
5,190,2025-08,3,6744,8852,10960
5,190,2025-09,4,6546,9222,11899
5,190,2025-10,5,6339,9638,12937
5,190,2025-11,6,6601,10899,15197
5,192,2025-06,1,2095,2487,2878
5,192,2025-07,2,1977,2531,3086
5,192,2025-08,3,1848,2567,3287
5,192,2025-09,4,1773,2693,3612
5,192,2025-10,5,1665,2787,3910
5,192,2025-11,6,1525,2845,4165
5,193,2025-06,1,5272,6313,7354
5,193,2025-07,2,4992,6476,7960
5,193,2025-08,3,4598,6506,8414
5,193,2025-09,4,4590,7144,9697
5,193,2025-10,5,4306,7444,10581
5,193,2025-11,6,4048,7871,11694
5,194,2025-06,1,6182,7320,8459
5,194,2025-07,2,5396,6883,8370
5,194,2025-08,3,5467,7557,9646
5,194,2025-09,4,4957,7476,9996
5,194,2025-10,5,5091,8449,11806
5,194,2025-11,6,4746,8755,12764
5,195,2025-06,1,5708,6816,7925
5,195,2025-07,2,5099,6586,8073
5,195,2025-08,3,4877,6859,8842
5,195,2025-09,4,4794,7401,10009
5,195,2025-10,5,4659,7971,11283
5,195,2025-11,6,4473,8581,12688
5,196,2025-06,1,5632,6751,7870
5,196,2025-07,2,4938,6414,7890
5,196,2025-08,3,4882,6921,8960
5,196,2025-09,4,4640,7240,9840
5,196,2025-10,5,4198,7282,10367
5,196,2025-11,6,3900,7617,11334
5,197,2025-06,1,5705,6446,7187
5,197,2025-07,2,5473,6513,7552
5,197,2025-08,3,5314,6679,8044
5,197,2025-09,4,5437,7240,9042
5,197,2025-10,5,5396,7640,9884
5,197,2025-11,6,5235,7912,10589
5,198,2025-06,1,2541,3003,3464
5,198,2025-07,2,2342,2977,3613
5,198,2025-08,3,2215,3047,3880
5,198,2025-09,4,2201,3299,4397
5,198,2025-10,5,2231,3673,5115
5,198,2025-11,6,2061,3764,5466
5,199,2025-06,1,3923,4474,5024
5,199,2025-07,2,3912,4719,5525
5,199,2025-08,3,3647,4668,5689
5,199,2025-09,4,3533,4817,6101
5,199,2025-10,5,3560,5193,6826
5,199,2025-11,6,3626,5685,7745
5,200,2025-06,1,4355,4904,5453
5,200,2025-07,2,4123,4881,5640
5,200,2025-08,3,4087,5101,6116
5,200,2025-09,4,4162,5493,6825
5,200,2025-10,5,4116,5765,7413
5,200,2025-11,6,4238,6321,8403
5,201,2025-06,1,4528,5470,6411
5,201,2025-07,2,4222,5549,6877
5,201,2025-08,3,3951,5694,7438
5,201,2025-09,4,3567,5689,7812
5,201,2025-10,5,3376,6030,8683
5,201,2025-11,6,3072,6232,9391
5,202,2025-06,1,6226,7107,7989
5,202,2025-07,2,6076,7341,8606
5,202,2025-08,3,5719,7337,8955
5,202,2025-09,4,5998,8203,10409
5,202,2025-10,5,5717,8371,11025
5,202,2025-11,6,5671,8935,12199
5,373,2025-06,1,363,438,514
5,373,2025-07,2,309,406,504
5,373,2025-08,3,286,413,540
5,373,2025-09,4,270,432,594
5,373,2025-10,5,260,465,671
5,373,2025-11,6,226,460,694
6,203,2025-06,1,6873,7810,8747
6,203,2025-07,2,6124,7349,8573
6,203,2025-08,3,5909,7510,9112
6,203,2025-09,4,6130,8282,10435
6,203,2025-10,5,5731,8264,10798
6,203,2025-11,6,5571,8614,11657
6,204,2025-06,1,6329,7108,7888
6,204,2025-07,2,6326,7463,8600
6,204,2025-08,3,6185,7683,9181
6,204,2025-09,4,6047,7932,9817
6,204,2025-10,5,5934,8246,10557
6,204,2025-11,6,6153,9088,12023
6,205,2025-06,1,4587,5431,6275
6,205,2025-07,2,4323,5513,6702
6,205,2025-08,3,3963,5476,6989
6,205,2025-09,4,4039,6089,8140
6,205,2025-10,5,4001,6637,9273
6,205,2025-11,6,3774,6959,10143
6,206,2025-06,1,4358,5276,6194
6,206,2025-07,2,3883,5121,6359
6,206,2025-08,3,3631,5258,6886
6,206,2025-09,4,3387,5438,7489
6,206,2025-10,5,3223,5806,8388
6,206,2025-11,6,3051,6260,9469
6,207,2025-06,1,5036,5998,6959
6,207,2025-07,2,4516,5810,7104
6,207,2025-08,3,4415,6175,7935
6,207,2025-09,4,4114,6303,8492
6,207,2025-10,5,4104,6952,9800
6,207,2025-11,6,3858,7308,10757
6,208,2025-06,1,3631,4229,4828
6,208,2025-07,2,3354,4174,4995
6,208,2025-08,3,3036,4057,5078
6,208,2025-09,4,3083,4446,5809
6,208,2025-10,5,2956,4631,6306
6,208,2025-11,6,2718,4659,6600
6,209,2025-06,1,3847,4423,4999
6,209,2025-07,2,3614,4413,5211
6,209,2025-08,3,3536,4602,5668
6,209,2025-09,4,3267,4553,5838
6,209,2025-10,5,3188,4780,6371
6,209,2025-11,6,3118,5059,7000
6,210,2025-06,1,5841,6553,7264
6,210,2025-07,2,5463,6433,7404
6,210,2025-08,3,5620,6965,8309
6,210,2025-09,4,5305,6937,8569
6,210,2025-10,5,5290,7322,9354
6,210,2025-11,6,5428,7979,10530
6,211,2025-06,1,5456,6443,7430
6,211,2025-07,2,5231,6645,8059
6,211,2025-08,3,5013,6890,8767
6,211,2025-09,4,4833,7235,9636
6,211,2025-10,5,4590,7544,10499
6,211,2025-11,6,4387,7994,11600
6,212,2025-06,1,5700,6580,7460
6,212,2025-07,2,5566,6836,8106
6,212,2025-08,3,5166,6778,8389
6,212,2025-09,4,5080,7153,9226
6,212,2025-10,5,4992,7585,10178
6,212,2025-11,6,5144,8486,11829
6,213,2025-06,1,5126,5927,6729
6,213,2025-07,2,4996,6152,7307
6,213,2025-08,3,4550,5989,7429
6,213,2025-09,4,4810,6803,8796
6,213,2025-10,5,4465,6823,9181
6,213,2025-11,6,4273,7100,9927
6,214,2025-06,1,5228,6216,7203
6,214,2025-07,2,4802,6162,7522
6,214,2025-08,3,4463,6220,7977
6,214,2025-09,4,4089,6235,8381
6,214,2025-10,5,3963,6672,9382
6,214,2025-11,6,3778,7098,10419
6,215,2025-06,1,5771,6644,7517
6,215,2025-07,2,5166,6319,7472
6,215,2025-08,3,5010,6536,8062
6,215,2025-09,4,4892,6838,8784
6,215,2025-10,5,5037,7582,10127
6,215,2025-11,6,4835,7884,10933
6,216,2025-06,1,5318,6143,6969
6,216,2025-07,2,4611,5668,6726
6,216,2025-08,3,4708,6186,7664
6,216,2025-09,4,4437,6259,8081
6,216,2025-10,5,4334,6600,8867
6,216,2025-11,6,4308,7128,9948
6,222,2025-06,1,3898,4669,5439
6,222,2025-07,2,3596,4666,5735
6,222,2025-08,3,3303,4674,6045
6,222,2025-09,4,3233,5032,6831
6,222,2025-10,5,2940,5083,7226
6,222,2025-11,6,2878,5597,8316
6,223,2025-06,1,5286,6162,7037
6,223,2025-07,2,5174,6446,7718
6,223,2025-08,3,4856,6498,8139
6,223,2025-09,4,4699,6789,8879
6,223,2025-10,5,4567,7172,9776
6,223,2025-11,6,4331,7446,10562
6,230,2025-06,1,5212,5960,6708
6,230,2025-07,2,4621,5596,6572
6,230,2025-08,3,4662,6001,7341
6,230,2025-09,4,4480,6153,7826
6,230,2025-10,5,4698,6917,9136
6,230,2025-11,6,4565,7241,9917
6,245,2025-06,1,4747,5565,6384
6,245,2025-07,2,4259,5352,6445
6,245,2025-08,3,4099,5550,7002
6,245,2025-09,4,3977,5837,7696
6,245,2025-10,5,3867,6196,8524
6,245,2025-11,6,3552,6265,8978
6,246,2025-06,1,3259,3842,4426
6,246,2025-07,2,2817,3570,4324
6,246,2025-08,3,2725,3734,4742
6,246,2025-09,4,2545,3794,5042
6,246,2025-10,5,2442,3991,5539
6,246,2025-11,6,2270,4107,5943
6,247,2025-06,1,2598,2987,3376
6,247,2025-07,2,2353,2872,3392
6,247,2025-08,3,2240,2915,3590
6,247,2025-09,4,2176,3031,3886
6,247,2025-10,5,2224,3334,4443
6,247,2025-11,6,2135,3462,4789
6,248,2025-06,1,4866,5553,6241
6,248,2025-07,2,4308,5202,6097
6,248,2025-08,3,4242,5438,6635
6,248,2025-09,4,4003,5469,6936
6,248,2025-10,5,4219,6169,8120
6,248,2025-11,6,4028,6337,8645
6,249,2025-06,1,4966,5660,6353
6,249,2025-07,2,4437,5347,6258
6,249,2025-08,3,4319,5523,6726
6,249,2025-09,4,4288,5839,7390
6,249,2025-10,5,4385,6386,8386
6,249,2025-11,6,4186,6550,8915
6,250,2025-06,1,4458,5074,5691
6,250,2025-07,2,4121,4957,5794
6,250,2025-08,3,4009,5114,6219
6,250,2025-09,4,3878,5264,6651
6,250,2025-10,5,3782,5486,7190
6,250,2025-11,6,3672,5719,7765
6,251,2025-06,1,4164,4800,5436
6,251,2025-07,2,3805,4663,5521
6,251,2025-08,3,3698,4837,5977
6,251,2025-09,4,3423,4800,6178
6,251,2025-10,5,3521,5322,7124
6,251,2025-11,6,3329,5458,7586
6,252,2025-06,1,6299,7524,8749
6,252,2025-07,2,5443,7035,8626
6,252,2025-08,3,5149,7248,9347
6,252,2025-09,4,5215,8059,10903
6,252,2025-10,5,4761,8155,11550
6,252,2025-11,6,4737,9103,13468
6,253,2025-06,1,5334,6131,6929
6,253,2025-07,2,4898,5978,7057
6,253,2025-08,3,5084,6613,8142
6,253,2025-09,4,4709,6557,8405
6,253,2025-10,5,5035,7542,10049
6,253,2025-11,6,4716,7644,10572
6,254,2025-06,1,4089,4742,5396
6,254,2025-07,2,3765,4656,5546
6,254,2025-08,3,3501,4637,5772
6,254,2025-09,4,3435,4896,6357
6,254,2025-10,5,3374,5207,7040
6,254,2025-11,6,3405,5729,8052
6,255,2025-06,1,3761,4695,5628
6,255,2025-07,2,3162,4369,5575
6,255,2025-08,3,2821,4364,5906
6,255,2025-09,4,2739,4812,6885
6,255,2025-10,5,2432,4946,7459
6,255,2025-11,6,2077,5011,7945
6,256,2025-06,1,3555,4058,4560
6,256,2025-07,2,3119,3767,4414
6,256,2025-08,3,3036,3894,4751
6,256,2025-09,4,3060,4181,5303
6,256,2025-10,5,2995,4381,5768
6,256,2025-11,6,2737,4307,5877
6,257,2025-06,1,4577,5303,6029
6,257,2025-07,2,4065,5020,5974
6,257,2025-08,3,3812,5039,6265
6,257,2025-09,4,3914,5564,7215
6,257,2025-10,5,3783,5820,7856
6,257,2025-11,6,3681,6168,8654
6,258,2025-06,1,1422,1734,2047
6,258,2025-07,2,1275,1701,2127
6,258,2025-08,3,1181,1737,2293
6,258,2025-09,4,1111,1822,2533
6,258,2025-10,5,1094,2027,2960
6,258,2025-11,6,965,2056,3147
6,259,2025-06,1,4937,6002,7066
6,259,2025-07,2,4214,5591,6968
6,259,2025-08,3,4101,5989,7877
6,259,2025-09,4,3849,6251,8653
6,259,2025-10,5,3744,6847,9950
6,259,2025-11,6,3203,6703,10203
6,260,2025-06,1,3528,3982,4437
6,260,2025-07,2,3208,3813,4417
6,260,2025-08,3,3138,3936,4735
6,260,2025-09,4,3035,4031,5028
6,260,2025-10,5,3151,4449,5746
6,260,2025-11,6,3037,4574,6111
6,261,2025-06,1,3999,4607,5215
6,261,2025-07,2,3785,4634,5484
6,261,2025-08,3,3673,4799,5926
6,261,2025-09,4,3548,4970,6391
6,261,2025-10,5,3528,5323,7119
6,261,2025-11,6,3396,5555,7714
6,262,2025-06,1,4323,5065,5806
6,262,2025-07,2,3895,4889,5882
6,262,2025-08,3,3702,5003,6305
